Statement,Suspiciousness
org.apache.commons.compress.archivers.ArchiveStreamFactory#71,1.0
org.apache.commons.compress.archivers.ArchiveStreamFactory#72,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#479,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#480,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#481,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#504,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#505,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#506,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#515,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#516,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#517,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#571,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#572,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#581,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#582,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#591,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#604,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#608,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#609,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#618,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#619,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#628,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#629,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#655,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#656,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#657,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#669,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#670,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#671,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#690,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#691,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#133,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#134,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#138,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#139,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#148,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#151,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#163,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#164,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#165,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#167,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#168,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#169,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#171,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#174,1.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#175,1.0
