Statement,Suspiciousness
org.apache.commons.lang.text.StrBuilder#1672,1.0
org.apache.commons.lang.text.StrBuilder#1673,0.984375
org.apache.commons.lang.text.StrBuilder#1674,0.96875
org.apache.commons.lang.text.StrBuilder#1675,0.953125
org.apache.commons.lang.text.StrBuilder#1202,0.9375
org.apache.commons.lang.text.StrBuilder#1203,0.921875
org.apache.commons.lang.text.StrBuilder#1204,0.90625
org.apache.commons.lang.text.StrBuilder#1205,0.890625
org.apache.commons.lang.text.StrBuilder#1206,0.875
org.apache.commons.lang.text.StrBuilder#1209,0.859375
org.apache.commons.lang.text.StrBuilder#1761,0.84375
org.apache.commons.lang.text.StrBuilder#1762,0.828125
org.apache.commons.lang.text.StrBuilder#1765,0.8125
org.apache.commons.lang.text.StrBuilder#1766,0.796875
org.apache.commons.lang.text.StrBuilder#1769,0.78125
org.apache.commons.lang.text.StrBuilder#1772,0.765625
org.apache.commons.lang.text.StrBuilder#1775,0.75
org.apache.commons.lang.text.StrBuilder#1776,0.734375
org.apache.commons.lang.text.StrBuilder#1778,0.71875
org.apache.commons.lang.text.StrBuilder#1779,0.703125
org.apache.commons.lang.text.StrBuilder#1780,0.6875
org.apache.commons.lang.text.StrBuilder#1781,0.671875
org.apache.commons.lang.text.StrBuilder#1784,0.65625
org.apache.commons.lang.text.StrBuilder#1114,0.640625
org.apache.commons.lang.text.StrBuilder#1115,0.625
org.apache.commons.lang.text.StrBuilder#1116,0.609375
org.apache.commons.lang.text.StrBuilder#121,0.59375
org.apache.commons.lang.text.StrBuilder#122,0.578125
org.apache.commons.lang.text.StrBuilder#125,0.5625
org.apache.commons.lang.text.StrBuilder#126,0.546875
org.apache.commons.lang.text.StrBuilder#128,0.53125
org.apache.commons.lang.text.StrBuilder#474,0.515625
org.apache.commons.lang.text.StrBuilder#475,0.5
org.apache.commons.lang.text.StrBuilder#476,0.484375
org.apache.commons.lang.text.StrBuilder#477,0.46875
org.apache.commons.lang.text.StrBuilder#469,0.453125
org.apache.commons.lang.text.StrBuilder#472,0.4375
org.apache.commons.lang.text.StrBuilder#473,0.421875
org.apache.commons.lang.text.StrBuilder#479,0.40625
org.apache.commons.lang.text.StrMatcher#216,0.390625
org.apache.commons.lang.text.StrMatcher#217,0.375
org.apache.commons.lang.text.StrMatcher#37,0.359375
org.apache.commons.lang.text.StrMatcher#41,0.34375
org.apache.commons.lang.text.StrMatcher#45,0.328125
org.apache.commons.lang.text.StrMatcher#50,0.3125
org.apache.commons.lang.text.StrMatcher#54,0.296875
org.apache.commons.lang.text.StrMatcher#58,0.28125
org.apache.commons.lang.text.StrMatcher#62,0.265625
org.apache.commons.lang.text.StrMatcher#66,0.25
org.apache.commons.lang.text.StrMatcher#70,0.234375
org.apache.commons.lang.text.StrMatcher#293,0.21875
org.apache.commons.lang.text.StrMatcher#294,0.203125
org.apache.commons.lang.text.StrMatcher#295,0.1875
org.apache.commons.lang.text.StrMatcher#260,0.171875
org.apache.commons.lang.text.StrMatcher#261,0.15625
org.apache.commons.lang.text.StrMatcher#262,0.140625
org.apache.commons.lang.text.StrMatcher#263,0.125
org.apache.commons.lang.text.StrMatcher#389,0.109375
org.apache.commons.lang.text.StrMatcher#390,0.09375
org.apache.commons.lang.text.StrMatcher#362,0.078125
org.apache.commons.lang.text.StrMatcher#363,0.0625
org.apache.commons.lang.text.StrBuilder#182,0.046875
org.apache.commons.lang.text.StrBuilder#228,0.03125
org.apache.commons.lang.text.StrBuilder#233,0.015625
