Statement,Suspiciousness
com.fasterxml.jackson.databind.ObjectMapper#2749,1.0
com.fasterxml.jackson.databind.node.TreeTraversingParser#314,0.99
com.fasterxml.jackson.databind.ObjectMapper#616,0.98
com.fasterxml.jackson.databind.node.TreeTraversingParser#72,0.97
com.fasterxml.jackson.databind.node.TreeTraversingParser#281,0.96
com.fasterxml.jackson.databind.ObjectMapper#2620,0.95
com.fasterxml.jackson.databind.ObjectReader#1141,0.94
com.fasterxml.jackson.databind.node.LongNode#36,0.93
com.fasterxml.jackson.databind.ObjectMapper#2548,0.92
com.fasterxml.jackson.databind.node.BigIntegerNode#40,0.91
com.fasterxml.jackson.databind.node.BigIntegerNode#70,0.9
com.fasterxml.jackson.databind.ObjectMapper#2521,0.89
com.fasterxml.jackson.databind.node.BigIntegerNode#43,0.88
com.fasterxml.jackson.databind.ObjectMapper#2520,0.87
com.fasterxml.jackson.databind.node.TreeTraversingParser#404,0.86
com.fasterxml.jackson.databind.ObjectMapper#2575,0.85
com.fasterxml.jackson.databind.node.NodeCursor#161,0.84
com.fasterxml.jackson.databind.node.NodeCursor#160,0.83
com.fasterxml.jackson.databind.ObjectMapper#2574,0.82
com.fasterxml.jackson.databind.ObjectMapper#2644,0.81
com.fasterxml.jackson.databind.node.NodeCursor#170,0.8
com.fasterxml.jackson.databind.ObjectMapper#2823,0.79
com.fasterxml.jackson.databind.node.BaseJsonNode#51,0.78
com.fasterxml.jackson.databind.node.NodeCursor#171,0.77
com.fasterxml.jackson.databind.ObjectReader#1802,0.76
com.fasterxml.jackson.databind.node.NodeCursor#180,0.75
com.fasterxml.jackson.databind.ObjectMapper#4182,0.74
com.fasterxml.jackson.databind.ObjectMapper#2766,0.73
com.fasterxml.jackson.databind.node.TreeTraversingParser#111,0.72
com.fasterxml.jackson.databind.node.TreeTraversingParser#109,0.71
com.fasterxml.jackson.databind.ObjectMapper#4179,0.7
com.fasterxml.jackson.databind.node.NumericNode#19,0.69
com.fasterxml.jackson.databind.DeserializationContext#1550,0.68
com.fasterxml.jackson.databind.ObjectMapper#4172,0.67
com.fasterxml.jackson.databind.node.TreeTraversingParser#123,0.66
com.fasterxml.jackson.databind.DeserializationContext#1549,0.65
com.fasterxml.jackson.databind.ObjectMapper#258,0.64
com.fasterxml.jackson.databind.ObjectMapper#2763,0.63
com.fasterxml.jackson.databind.node.NodeCursor#33,0.62
com.fasterxml.jackson.databind.ObjectReader#1354,0.61
com.fasterxml.jackson.databind.DeserializationContext#1362,0.6
com.fasterxml.jackson.databind.ObjectMapper#615,0.59
com.fasterxml.jackson.databind.node.NodeCursor#36,0.58
com.fasterxml.jackson.databind.node.JsonNodeFactory#207,0.57
com.fasterxml.jackson.databind.ObjectMapper#237,0.56
com.fasterxml.jackson.databind.ObjectMapper#2693,0.55
com.fasterxml.jackson.databind.node.BigIntegerNode#18,0.54
com.fasterxml.jackson.databind.DeserializationContext#1565,0.53
com.fasterxml.jackson.databind.DeserializationContext#1564,0.52
com.fasterxml.jackson.databind.ObjectMapper#256,0.51
com.fasterxml.jackson.databind.node.BigIntegerNode#16,0.5
com.fasterxml.jackson.databind.node.TreeTraversingParser#150,0.49
com.fasterxml.jackson.databind.node.TreeTraversingParser#151,0.48
com.fasterxml.jackson.databind.ObjectMapper#3823,0.47
com.fasterxml.jackson.databind.ObjectReader#1362,0.46
com.fasterxml.jackson.databind.node.TreeTraversingParser#128,0.45
com.fasterxml.jackson.databind.ObjectMapper#4244,0.44
com.fasterxml.jackson.databind.node.TreeTraversingParser#307,0.43
com.fasterxml.jackson.databind.ObjectMapper#4245,0.42
com.fasterxml.jackson.databind.node.TreeTraversingParser#308,0.41
com.fasterxml.jackson.databind.node.TreeTraversingParser#71,0.4
com.fasterxml.jackson.databind.node.TreeTraversingParser#122,0.39
com.fasterxml.jackson.databind.ObjectReader#1486,0.38
com.fasterxml.jackson.databind.ObjectReader#1501,0.37
com.fasterxml.jackson.databind.node.JsonNodeFactory#204,0.36
com.fasterxml.jackson.databind.DeserializationContext#1442,0.35
