Statement,Suspiciousness
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#97,1.0
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#283,0.99
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#295,0.98
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#162,0.97
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#297,0.96
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#282,0.95
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer#165,0.94
org.apache.commons.math.optimization.MultiStartDifferentiableMultivariateVectorialOptimizer#179,0.93
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#102,0.92
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#92,0.91
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#286,0.9
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#285,0.89
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#127,0.88
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#288,0.87
org.apache.commons.math.ConvergingAlgorithmImpl#108,0.86
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer#172,0.85
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#101,0.84
org.apache.commons.math.ConvergingAlgorithmImpl#109,0.83
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#229,0.82
org.apache.commons.math.optimization.MultiStartDifferentiableMultivariateVectorialOptimizer#187,0.81
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#316,0.8
org.apache.commons.math.util.LocalizedFormats#76,0.79
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer#174,0.78
org.apache.commons.math.util.LocalizedFormats#74,0.77
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#244,0.76
org.apache.commons.math.util.LocalizedFormats#68,0.75
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#80,0.74
org.apache.commons.math.util.LocalizedFormats#73,0.73
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#315,0.72
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#301,0.71
org.apache.commons.math.util.LocalizedFormats#67,0.7
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#44,0.69
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#302,0.68
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#257,0.67
org.apache.commons.math.util.LocalizedFormats#62,0.66
org.apache.commons.math.util.LocalizedFormats#63,0.65
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#142,0.64
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#132,0.63
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#147,0.62
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#141,0.61
org.apache.commons.math.util.LocalizedFormats#59,0.6
org.apache.commons.math.util.LocalizedFormats#58,0.59
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer#75,0.58
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#146,0.57
org.apache.commons.math.util.LocalizedFormats#53,0.56
org.apache.commons.math.optimization.MultiStartDifferentiableMultivariateRealOptimizer#78,0.55
org.apache.commons.math.util.LocalizedFormats#50,0.54
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#136,0.53
org.apache.commons.math.optimization.MultiStartMultivariateRealOptimizer#158,0.52
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#241,0.51
org.apache.commons.math.util.LocalizedFormats#45,0.5
