Statement,Suspiciousness
com.fasterxml.jackson.dataformat.xml.XmlMapper#103,1.0
com.fasterxml.jackson.dataformat.xml.XmlFactory#134,0.99
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#459,0.98
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#225,0.97
com.fasterxml.jackson.dataformat.xml.XmlMapper#102,0.96
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#457,0.95
com.fasterxml.jackson.dataformat.xml.XmlFactory#132,0.94
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#115,0.93
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#308,0.92
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#223,0.91
com.fasterxml.jackson.dataformat.xml.XmlMapper#98,0.9
com.fasterxml.jackson.dataformat.xml.XmlMapper#97,0.89
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#226,0.88
com.fasterxml.jackson.dataformat.xml.XmlMapper#104,0.87
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#56,0.86
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#59,0.85
com.fasterxml.jackson.dataformat.xml.XmlFactory#133,0.84
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#28,0.83
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#52,0.82
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#75,0.81
com.fasterxml.jackson.dataformat.xml.XmlMapper#95,0.8
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#74,0.79
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#77,0.78
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#259,0.77
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#441,0.76
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#97,0.75
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#123,0.74
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#268,0.73
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#297,0.72
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#102,0.71
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#103,0.7
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#90,0.69
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#73,0.68
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#265,0.67
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#87,0.66
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#63,0.65
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#939,0.64
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup#44,0.63
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#267,0.62
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#938,0.61
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#232,0.6
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanPropertyWriter#111,0.59
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#72,0.58
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#933,0.57
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#923,0.56
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#940,0.55
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#98,0.54
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#133,0.53
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator#945,0.52
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil#26,0.51
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#236,0.5
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#208,0.49
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#130,0.48
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#207,0.47
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider#159,0.46
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#204,0.45
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule#69,0.44
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#73,0.43
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#203,0.42
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil#72,0.41
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule#59,0.4
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#202,0.39
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule#68,0.38
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#503,0.37
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier#55,0.36
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer#117,0.35
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#119,0.34
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#154,0.33
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil#77,0.32
com.fasterxml.jackson.dataformat.xml.util.AnnotationUtil#15,0.31
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#187,0.3
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#422,0.29
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer#120,0.28
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#575,0.27
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer#114,0.26
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#159,0.25
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#382,0.24
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#197,0.23
com.fasterxml.jackson.dataformat.xml.XmlFactory#194,0.22
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#194,0.21
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer#109,0.2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#324,0.19
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#425,0.18
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#207,0.17
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#471,0.16
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#423,0.15
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#153,0.14
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector#152,0.13
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#469,0.12
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#468,0.11
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#179,0.1
com.fasterxml.jackson.dataformat.xml.XmlMapper#79,0.09
com.fasterxml.jackson.dataformat.xml.XmlFactory#187,0.08
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#529,0.07
com.fasterxml.jackson.dataformat.xml.XmlMapper#75,0.06
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#180,0.05
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream#290,0.04
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#184,0.03
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#211,0.02
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase#226,0.01
