Statement,Suspiciousness
org.apache.commons.collections4.trie.PatriciaTrie#66,1.0
org.apache.commons.collections4.trie.PatriciaTrie#62,0.999998
org.apache.commons.collections4.trie.PatriciaTrie#65,0.999996
org.apache.commons.collections4.trie.PatriciaTrie#61,0.999994
org.apache.commons.collections4.trie.UnmodifiableTrie#54,0.999992
org.apache.commons.collections4.trie.UnmodifiableTrie#70,0.99999
org.apache.commons.collections4.trie.UnmodifiableTrie#55,0.999988
org.apache.commons.collections4.trie.UnmodifiableTrie#56,0.999986
org.apache.commons.collections4.trie.UnmodifiableTrie#74,0.999984
org.apache.commons.collections4.trie.UnmodifiableTrie#57,0.999982
org.apache.commons.collections4.trie.UnmodifiableTrie#75,0.99998
org.apache.commons.collections4.trie.UnmodifiableTrie#60,0.999978
org.apache.commons.collections4.trie.UnmodifiableTrie#71,0.999976
org.apache.commons.collections4.trie.UnmodifiableTrie#72,0.999974
org.apache.commons.collections4.trie.UnmodifiableTrie#58,0.999972
org.apache.commons.collections4.trie.UnmodifiableTrie#76,0.99997
org.apache.commons.collections4.trie.UnmodifiableTrie#206,0.999968
org.apache.commons.collections4.trie.UnmodifiableTrie#205,0.999966
org.apache.commons.collections4.trie.UnmodifiableTrie#133,0.999964
org.apache.commons.collections4.trie.UnmodifiableTrie#98,0.999962
org.apache.commons.collections4.trie.UnmodifiableTrie#97,0.99996
org.apache.commons.collections4.trie.UnmodifiableTrie#128,0.999958
org.apache.commons.collections4.trie.UnmodifiableTrie#127,0.999956
org.apache.commons.collections4.trie.UnmodifiableTrie#123,0.999954
org.apache.commons.collections4.trie.UnmodifiableTrie#122,0.999952
org.apache.commons.collections4.trie.UnmodifiableTrie#132,0.99995
org.apache.commons.collections4.trie.UnmodifiableTrie#168,0.999948
org.apache.commons.collections4.trie.UnmodifiableTrie#167,0.999946
org.apache.commons.collections4.trie.UnmodifiableTrie#93,0.999944
org.apache.commons.collections4.trie.UnmodifiableTrie#92,0.999942
org.apache.commons.collections4.trie.UnmodifiableTrie#83,0.99994
org.apache.commons.collections4.trie.UnmodifiableTrie#82,0.999938
org.apache.commons.collections4.trie.UnmodifiableTrie#108,0.999936
