Statement,Suspiciousness
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1544,1.0
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#75,0.999998
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#972,0.999996
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1097,0.999994
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#87,0.999992
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1187,0.99999
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1572,0.999988
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1006,0.999986
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1021,0.999984
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#927,0.999982
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1062,0.99998
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1297,0.999978
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1451,0.999976
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#58,0.999974
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#64,0.999972
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1141,0.99997
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1235,0.999968
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1158,0.999966
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1119,0.999964
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1547,0.999962
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1448,0.99996
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1422,0.999958
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1241,0.999956
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1563,0.999954
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#65,0.999952
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1814,0.99995
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#828,0.999948
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1823,0.999946
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1446,0.999944
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1445,0.999942
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1656,0.99994
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1388,0.999938
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1655,0.999936
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1030,0.999934
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1591,0.999932
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1685,0.99993
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#942,0.999928
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1729,0.999926
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1700,0.999924
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1745,0.999922
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1684,0.99992
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1401,0.999918
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1728,0.999916
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1699,0.999914
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1402,0.999912
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1641,0.99991
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1744,0.999908
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1007,0.999906
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1686,0.999904
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#985,0.999902
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1145,0.9999
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1640,0.999898
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1730,0.999896
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1701,0.999894
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1142,0.999892
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1074,0.99989
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1746,0.999888
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1116,0.999886
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1670,0.999884
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1642,0.999882
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1307,0.99988
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#63,0.999878
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1835,0.999876
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1209,0.999874
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#297,0.999872
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1669,0.99987
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1040,0.999868
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1039,0.999866
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1076,0.999864
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1175,0.999862
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1174,0.99986
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1211,0.999858
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1193,0.999856
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1103,0.999854
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1079,0.999852
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1078,0.99985
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1214,0.999848
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1213,0.999846
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1431,0.999844
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#237,0.999842
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1405,0.99984
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1404,0.999838
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1032,0.999836
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1316,0.999834
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1605,0.999832
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1319,0.99983
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1318,0.999828
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1671,0.999826
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#940,0.999824
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1429,0.999822
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#88,0.99982
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1255,0.999818
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1164,0.999816
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1246,0.999814
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1254,0.999812
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1358,0.99981
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1586,0.999808
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1247,0.999806
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#1337,0.999804
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#516,0.999802
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#332,0.998978
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#385,0.998976
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#202,0.998974
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#425,0.998972
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#354,0.99897
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#121,0.998968
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#50,0.998966
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#49,0.998964
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#410,0.998962
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#336,0.99896
com.fasterxml.jackson.databind.deser.BeanDeserializerBuilder#383,0.998958
