Statement,Suspiciousness
org.jfree.data.category.DefaultIntervalCategoryDataset#150,1.0
org.jfree.data.gantt.TaskSeriesCollection#397,0.999606
org.jfree.data.statistics.DefaultStatisticalCategoryDataset#690,0.999308
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#891,0.999192
org.jfree.data.statistics.DefaultMultiValueCategoryDataset#379,0.998998
org.jfree.data.category.DefaultCategoryDataset#375,0.998874
org.jfree.data.general.DatasetUtilities#403,0.998782
org.jfree.data.category.CategoryToPieDataset#295,0.998008
org.jfree.data.time.DynamicTimeSeriesCollection#274,0.997944
org.jfree.chart.plot.SpiderWebPlot#1168,0.997464
org.jfree.data.io.CSV#94,0.99701
org.jfree.data.DefaultKeyedValues2D#488,0.996954
org.jfree.data.KeyedObjects2D#446,0.996702
org.jfree.data.jdbc.JDBCXYDataset#445,0.996462
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#741,0.996352
org.jfree.chart.axis.LogarithmicAxis#972,0.995822
org.jfree.chart.plot.CategoryPlot#281,0.99569
org.jfree.data.xy.DefaultIntervalXYDataset#447,0.995112
org.jfree.data.DefaultKeyedValues#408,0.994958
org.jfree.chart.plot.MultiplePiePlot#455,0.99483
org.jfree.data.xy.CategoryTableXYDataset#368,0.99438
org.jfree.data.time.TimeTableXYDataset#501,0.994268
org.jfree.data.xy.XYSeriesCollection#229,0.994124
org.jfree.chart.renderer.category.CategoryStepRenderer#294,0.993938
org.jfree.data.general.DefaultPieDataset#312,0.993856
org.jfree.data.xy.DefaultWindDataset#125,0.99378
org.jfree.data.jdbc.JDBCCategoryDataset#215,0.993634
org.jfree.chart.plot.PiePlot#455,0.993594
org.jfree.chart.renderer.category.StackedAreaRenderer#521,0.99327
org.jfree.chart.axis.CategoryAxis#671,0.993204
org.jfree.chart.renderer.category.LineAndShapeRenderer#745,0.992788
org.jfree.data.xy.DefaultXYDataset#310,0.99257
org.jfree.chart.renderer.category.IntervalBarRenderer#573,0.992442
org.jfree.data.xy.DefaultXYZDataset#104,0.992076
org.jfree.chart.renderer.category.MinMaxCategoryRenderer#391,0.991938
org.jfree.data.KeyedObjects#310,0.991858
org.jfree.chart.labels.IntervalCategoryItemLabelGenerator#122,0.99182
org.jfree.chart.labels.IntervalCategoryToolTipGenerator#122,0.991796
org.jfree.chart.entity.CategoryItemEntity#208,0.991772
org.jfree.chart.renderer.category.CategoryItemRenderer#959,0.991732
org.jfree.data.time.TimeSeriesCollection#504,0.991548
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer#745,0.991348
org.jfree.chart.renderer.category.BarRenderer#573,0.991054
org.jfree.chart.ChartFactory#2068,0.990774
org.jfree.chart.plot.XYPlot#302,0.990366
org.jfree.data.xy.MatrixSeries#213,0.989748
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator#243,0.989684
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer#434,0.989606
