Statement,Suspiciousness
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator#118,1.0
org.apache.commons.compress.archivers.zip.ZipArchiveEntry#472,0.99993
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#177,0.999714
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#71,0.99904
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#277,0.998708
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#246,0.998428
org.apache.commons.compress.archivers.tar.TarArchiveEntry#808,0.9979
org.apache.commons.compress.archivers.tar.TarUtils#140,0.997602
org.apache.commons.compress.archivers.zip.ZipFile#571,0.997424
org.apache.commons.compress.compressors.xz.XZUtils#58,0.996928
org.apache.commons.compress.compressors.bzip2.BZip2CompressorOutputStream#643,0.996858
org.apache.commons.compress.compressors.bzip2.BlockSort#978,0.996548
org.apache.commons.compress.archivers.sevenz.SevenZFile#645,0.996376
org.apache.commons.compress.utils.IOUtils#152,0.995506
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream#227,0.99546
org.apache.commons.compress.compressors.snappy.SnappyCompressorInputStream#128,0.99514
org.apache.commons.compress.compressors.pack200.Pack200CompressorInputStream#104,0.99499
org.apache.commons.compress.archivers.zip.X7875_NewUnix#197,0.994914
org.apache.commons.compress.archivers.tar.TarArchiveSparseEntry#57,0.994858
org.apache.commons.compress.archivers.dump.TapeInputStream#116,0.994854
org.apache.commons.compress.compressors.lzw.LZWInputStream#69,0.994672
org.apache.commons.compress.archivers.tar.TarConstants#49,0.994592
org.apache.commons.compress.archivers.ArchiveStreamFactory#392,0.994582
org.apache.commons.compress.archivers.dump.DumpArchiveEntry#436,0.994328
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#313,0.994238
org.apache.commons.compress.compressors.pack200.Pack200CompressorOutputStream#57,0.993954
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile#613,0.993918
org.apache.commons.compress.archivers.zip.ExtraFieldUtils#179,0.993342
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry#770,0.993204
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream#346,0.993064
org.apache.commons.compress.archivers.cpio.CpioConstants#43,0.992756
org.apache.commons.compress.archivers.sevenz.AES256SHA256Decoder#71,0.992746
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream#395,0.992672
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp#539,0.992402
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField#120,0.992286
org.apache.commons.compress.archivers.zip.UnicodePathExtraField#50,0.992142
org.apache.commons.compress.archivers.zip.ZipUtil#208,0.992136
org.apache.commons.compress.archivers.zip.Zip64RequiredException#40,0.992014
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream#114,0.992004
org.apache.commons.compress.archivers.zip.StreamCompressor#164,0.99194
org.apache.commons.compress.archivers.sevenz.CLI#119,0.991862
org.apache.commons.compress.archivers.ArchiveException#48,0.99175
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream#45,0.99174
org.apache.commons.compress.compressors.CompressorException#49,0.991568
org.apache.commons.compress.compressors.FileNameUtil#161,0.99156
org.apache.commons.compress.archivers.ArchiveOutputStream#166,0.991508
org.apache.commons.compress.compressors.gzip.GzipUtils#39,0.991496
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#177,0.99147
org.apache.commons.compress.archivers.zip.NioZipEncoding#118,0.99128
