Statement,Suspiciousness
org.apache.commons.jxpath.JXPathContext#653,1.0
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter#578,0.999784
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#574,0.999158
org.apache.commons.jxpath.util.ValueUtils#240,0.99862
org.apache.commons.jxpath.ri.parser.SimpleCharStream#356,0.998214
org.apache.commons.jxpath.ri.parser.ParseException#126,0.997998
org.apache.commons.jxpath.JXPathContextFactory#215,0.99796
org.apache.commons.jxpath.ri.parser.TokenMgrError#101,0.997826
org.apache.commons.jxpath.ri.model.NodePointer#726,0.99779
org.apache.commons.jxpath.ri.parser.XPathParser#1142,0.997384
org.apache.commons.jxpath.ri.parser.Token#22,0.99636
org.apache.commons.jxpath.ri.model.jdom.JDOMAttributeIterator#42,0.99635
org.apache.commons.jxpath.ri.EvalContext#202,0.996192
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#681,0.996036
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer#194,0.995246
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager#1852,0.994882
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#149,0.99425
org.apache.commons.jxpath.ri.model.beans.NullElementPointer#112,0.993184
org.apache.commons.jxpath.ri.NamespaceResolver#93,0.993106
org.apache.commons.jxpath.ri.model.beans.NullPropertyPointer#103,0.99301
org.apache.commons.jxpath.FunctionLibrary#101,0.992726
org.apache.commons.jxpath.JXPathContextFactoryConfigurationError#93,0.992658
org.apache.commons.jxpath.ri.model.beans.CollectionPointer#230,0.992644
org.apache.commons.jxpath.ClassFunctions#101,0.992452
org.apache.commons.jxpath.ri.model.beans.BeanPropertyPointer#194,0.992408
org.apache.commons.jxpath.MapDynamicPropertyHandler#36,0.992126
org.apache.commons.jxpath.ri.model.dom.DOMAttributeIterator#42,0.9921
org.apache.commons.jxpath.ri.compiler.Path#120,0.991978
org.apache.commons.jxpath.util.BasicTypeConverter#453,0.991788
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPropertyPointer#194,0.99145
org.apache.commons.jxpath.ri.axes.DescendantContext#141,0.991098
org.apache.commons.jxpath.ri.model.dom.DOMNamespaceIterator#54,0.991006
org.apache.commons.jxpath.JXPathIntrospector#33,0.99094
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer#172,0.990844
org.apache.commons.jxpath.ri.model.jdom.JDOMNodeIterator#125,0.990714
org.apache.commons.jxpath.BasicVariables#32,0.99061
org.apache.commons.jxpath.ri.parser.XPathParserConstants#83,0.990582
org.apache.commons.jxpath.ri.Compiler#232,0.990542
org.apache.commons.jxpath.xml.DocumentContainer#158,0.990502
org.apache.commons.jxpath.ri.model.VariablePointer#174,0.990426
org.apache.commons.jxpath.AbstractFactory#56,0.990124
org.apache.commons.jxpath.PackageFunctions#113,0.990118
org.apache.commons.jxpath.ri.compiler.CoreFunction#338,0.990014
org.apache.commons.jxpath.ri.model.jdom.JDOMNamespaceIterator#54,0.989582
org.apache.commons.jxpath.ri.model.beans.CollectionNodeIterator#79,0.9895
org.apache.commons.jxpath.ri.model.beans.NullPointer#86,0.989428
org.apache.commons.jxpath.ri.model.beans.PropertyPointer#194,0.989328
org.apache.commons.jxpath.DynamicPropertyHandler#55,0.989164
