Statement,Suspiciousness
org.joda.time.field.FieldUtils#198,1.0
org.joda.time.format.DateTimeFormatterBuilder#1989,0.999854
org.joda.time.format.PeriodFormatterBuilder#1151,0.998774
org.joda.time.Instant#109,0.998192
org.joda.time.tz.ZoneInfoCompiler#140,0.998144
org.joda.time.base.BasePeriod#1306,0.997846
org.joda.time.Partial#597,0.997252
org.joda.time.tz.DateTimeZoneBuilder#948,0.996958
org.joda.time.LocalDate#1136,0.996626
org.joda.time.Weeks#406,0.99627
org.joda.time.Days#420,0.996194
org.joda.time.Minutes#400,0.996118
org.joda.time.Hours#419,0.996038
org.joda.time.Seconds#400,0.995958
org.joda.time.YearMonthDay#474,0.995878
org.joda.time.Years#290,0.995526
org.joda.time.Months#326,0.995476
org.joda.time.MonthDay#549,0.995426
org.joda.time.DateTimeZone#462,0.995258
org.joda.time.DateMidnight#545,0.994936
org.joda.time.Period#1306,0.994748
org.joda.time.DateTime#889,0.99436
org.joda.time.field.ScaledDurationField#96,0.993988
org.joda.time.chrono.GJChronology#689,0.993888
org.joda.time.LocalDateTime#283,0.993324
org.joda.time.TimeOfDay#589,0.992614
org.joda.time.convert.StringConverter#137,0.992346
org.joda.time.chrono.IslamicChronology#211,0.992292
org.joda.time.LocalTime#1286,0.992112
org.joda.time.Duration#388,0.991788
org.joda.time.YearMonth#541,0.991706
org.joda.time.convert.AbstractConverter#52,0.991536
org.joda.time.field.BaseDateTimeField#494,0.991514
org.joda.time.MutableDateTime#524,0.991172
org.joda.time.convert.PartialConverter#86,0.990546
org.joda.time.convert.ReadablePartialConverter#86,0.990538
org.joda.time.chrono.BaseChronology#321,0.990512
org.joda.time.field.BaseDurationField#79,0.990222
org.joda.time.DateTimeField#212,0.99019
org.joda.time.field.AbstractReadableInstantFieldProperty#231,0.990122
org.joda.time.chrono.GregorianChronology#211,0.99002
org.joda.time.chrono.BasicWeekyearDateTimeField#79,0.989912
org.joda.time.format.DateTimeParserBucket#343,0.989786
org.joda.time.DateTimeUtils#131,0.989602
org.joda.time.Chronology#211,0.98955
org.joda.time.ReadWritableInstant#109,0.98952
org.joda.time.chrono.BasicChronology#603,0.989458
org.joda.time.base.AbstractInstant#109,0.989014
org.joda.time.format.PeriodFormatter#326,0.988862
org.joda.time.base.AbstractPartial#597,0.988856
