Statement,Suspiciousness
org.jfree.chart.axis.SymbolAxis#691,1.0
org.jfree.chart.axis.SymbolAxis#597,0.999998
org.jfree.chart.axis.SymbolAxis#434,0.999996
org.jfree.chart.axis.SymbolAxis#377,0.999994
org.jfree.chart.axis.SymbolAxis#693,0.999992
org.jfree.chart.axis.SymbolAxis#599,0.99999
org.jfree.chart.axis.SymbolAxis#694,0.999988
org.jfree.chart.axis.SymbolAxis#600,0.999986
org.jfree.chart.axis.SymbolAxis#757,0.999984
org.jfree.chart.axis.SymbolAxis#438,0.999982
org.jfree.chart.axis.SymbolAxis#381,0.99998
org.jfree.chart.axis.SymbolAxis#437,0.999978
org.jfree.chart.axis.SymbolAxis#380,0.999976
org.jfree.chart.axis.SymbolAxis#816,0.999974
org.jfree.chart.axis.SymbolAxis#801,0.999972
org.jfree.chart.axis.SymbolAxis#819,0.99997
org.jfree.chart.axis.SymbolAxis#818,0.999968
org.jfree.chart.axis.SymbolAxis#803,0.999966
org.jfree.chart.axis.SymbolAxis#361,0.999964
org.jfree.chart.axis.SymbolAxis#754,0.999962
org.jfree.chart.axis.SymbolAxis#804,0.99996
org.jfree.chart.axis.SymbolAxis#418,0.999958
org.jfree.chart.axis.SymbolAxis#784,0.999956
org.jfree.chart.axis.SymbolAxis#678,0.999954
org.jfree.chart.axis.SymbolAxis#584,0.999952
org.jfree.chart.axis.SymbolAxis#787,0.99995
org.jfree.chart.axis.SymbolAxis#677,0.999948
org.jfree.chart.axis.SymbolAxis#583,0.999946
org.jfree.chart.axis.SymbolAxis#752,0.999944
org.jfree.chart.axis.SymbolAxis#770,0.999942
org.jfree.chart.axis.SymbolAxis#663,0.99994
org.jfree.chart.axis.SymbolAxis#569,0.999938
org.jfree.chart.axis.SymbolAxis#476,0.999936
org.jfree.chart.axis.SymbolAxis#467,0.999934
org.jfree.chart.axis.SymbolAxis#460,0.999932
org.jfree.chart.axis.SymbolAxis#475,0.99993
org.jfree.chart.axis.SymbolAxis#526,0.999928
org.jfree.chart.axis.SymbolAxis#511,0.999926
org.jfree.chart.axis.SymbolAxis#472,0.999924
org.jfree.chart.axis.SymbolAxis#478,0.999922
org.jfree.chart.axis.SymbolAxis#477,0.99992
org.jfree.chart.plot.PiePlot#531,0.999918
org.jfree.chart.plot.PiePlot#530,0.999916
org.jfree.chart.plot.PiePlot#529,0.999914
org.jfree.chart.plot.PiePlot#2784,0.999912
org.jfree.chart.plot.PiePlot#2787,0.99991
org.jfree.chart.plot.PiePlot#1651,0.999908
org.jfree.chart.plot.PiePlot#1646,0.999906
org.jfree.chart.plot.PiePlot#2737,0.999904
org.jfree.chart.plot.PiePlot#3407,0.999902
org.jfree.chart.plot.PiePlot#3311,0.9999
org.jfree.chart.plot.PiePlot#2589,0.999898
org.jfree.chart.plot.PiePlot#2397,0.999896
org.jfree.chart.plot.PiePlot#2748,0.999894
org.jfree.chart.plot.PiePlot#2438,0.999892
org.jfree.chart.plot.PiePlot#2396,0.99989
org.jfree.chart.plot.PiePlot#2761,0.999888
org.jfree.chart.plot.PiePlot#3307,0.999886
org.jfree.chart.plot.PiePlot#3022,0.999884
org.jfree.chart.plot.PiePlot#2843,0.999882
org.jfree.chart.plot.PiePlot#2747,0.99988
org.jfree.chart.plot.PiePlot#3397,0.999878
org.jfree.chart.plot.PiePlot#2392,0.999876
org.jfree.chart.plot.PiePlot#3437,0.999874
org.jfree.chart.plot.PiePlot#3336,0.999872
org.jfree.chart.plot.PiePlot#3692,0.99987
org.jfree.chart.plot.PiePlot#3667,0.999868
org.jfree.chart.plot.PiePlot#3330,0.999866
org.jfree.chart.plot.PiePlot#2809,0.999864
org.jfree.chart.plot.PiePlot#3280,0.999862
org.jfree.chart.plot.PiePlot#2665,0.99986
org.jfree.chart.plot.PiePlot#3013,0.999858
org.jfree.chart.plot.PiePlot#3635,0.999856
org.jfree.chart.plot.PiePlot#3431,0.999854
org.jfree.chart.plot.PiePlot#2788,0.999852
org.jfree.chart.plot.PiePlot#3314,0.99985
org.jfree.chart.plot.PiePlot#3320,0.999848
org.jfree.chart.plot.PiePlot#3024,0.999846
org.jfree.chart.plot.PiePlot#2845,0.999844
org.jfree.chart.plot.PiePlot#2749,0.999842
org.jfree.chart.plot.PiePlot#1653,0.99984
org.jfree.chart.plot.PiePlot#2584,0.999838
org.jfree.chart.plot.PiePlot#3023,0.999836
org.jfree.chart.plot.PiePlot#2844,0.999834
org.jfree.chart.plot.PiePlot#1652,0.999832
org.jfree.chart.plot.PiePlot#2785,0.99983
org.jfree.chart.plot.PiePlot#3439,0.999828
org.jfree.chart.plot.PiePlot#3338,0.999826
org.jfree.chart.plot.PiePlot#2667,0.999824
org.jfree.chart.plot.PiePlot#648,0.999822
org.jfree.chart.plot.PiePlot#2659,0.99982
org.jfree.chart.plot.PiePlot#3705,0.999818
org.jfree.chart.plot.PiePlot#3704,0.999816
org.jfree.chart.plot.PiePlot#3703,0.999814
org.jfree.chart.plot.PiePlot#3702,0.999812
org.jfree.chart.plot.PiePlot#3701,0.99981
org.jfree.chart.plot.PiePlot#3700,0.999808
org.jfree.chart.plot.PiePlot#3699,0.999806
org.jfree.chart.plot.PiePlot#3698,0.999804
org.jfree.chart.plot.PiePlot#3697,0.999802
org.jfree.chart.plot.PiePlot#3696,0.9998
org.jfree.chart.plot.PiePlot#3695,0.999798
org.jfree.chart.plot.PiePlot#3694,0.999796
org.jfree.chart.plot.PiePlot#3641,0.999794
org.jfree.chart.plot.PiePlot#3454,0.999792
org.jfree.chart.plot.PiePlot#3238,0.99979
org.jfree.chart.plot.PiePlot#3647,0.999788
org.jfree.chart.plot.PiePlot#3644,0.999786
org.jfree.chart.plot.PiePlot#3237,0.999784
org.jfree.chart.plot.PiePlot#3673,0.999782
org.jfree.chart.plot.PiePlot#3672,0.99978
org.jfree.chart.plot.PiePlot#3655,0.999778
org.jfree.chart.plot.PiePlot#664,0.999776
org.jfree.chart.plot.PiePlot#658,0.999774
org.jfree.chart.plot.PiePlot#3676,0.999772
org.jfree.chart.plot.PiePlot#3669,0.99977
org.jfree.chart.plot.PiePlot#3619,0.999768
org.jfree.chart.plot.PiePlot#3680,0.999766
org.jfree.chart.plot.PiePlot#3679,0.999764
org.jfree.chart.plot.PiePlot#3678,0.999762
org.jfree.chart.plot.PiePlot#3677,0.99976
org.jfree.chart.plot.PiePlot#3675,0.999758
org.jfree.chart.plot.PiePlot#3674,0.999756
org.jfree.chart.plot.PiePlot#3651,0.999754
org.jfree.chart.plot.PiePlot#3587,0.999752
org.jfree.chart.plot.PiePlot#3526,0.99975
org.jfree.chart.plot.PiePlot#3533,0.999748
org.jfree.chart.plot.PiePlot#3530,0.999746
org.jfree.chart.plot.PiePlot#3522,0.999744
org.jfree.chart.plot.PiePlot#3513,0.999742
org.jfree.chart.plot.PiePlot#3239,0.99974
org.jfree.chart.plot.PiePlot#3671,0.999738
org.jfree.chart.plot.PiePlot#3670,0.999736
org.jfree.chart.plot.PiePlot#3654,0.999734
org.jfree.chart.plot.PiePlot#3646,0.999732
org.jfree.chart.plot.PiePlot#3583,0.99973
org.jfree.chart.plot.PiePlot#3579,0.999728
org.jfree.chart.plot.PiePlot#3576,0.999726
org.jfree.chart.plot.PiePlot#3548,0.999724
org.jfree.chart.plot.PiePlot#3544,0.999722
org.jfree.chart.plot.PiePlot#3540,0.99972
org.jfree.chart.plot.PiePlot#3536,0.999718
org.jfree.chart.plot.PiePlot#3490,0.999716
org.jfree.chart.plot.PiePlot#3486,0.999714
org.jfree.chart.plot.PiePlot#3596,0.999712
org.jfree.chart.plot.PiePlot#3593,0.99971
org.jfree.chart.plot.PiePlot#2791,0.999708
org.jfree.chart.plot.PiePlot#3284,0.999706
org.jfree.chart.plot.PiePlot#2586,0.999704
org.jfree.chart.plot.PiePlot#2832,0.999702
org.jfree.chart.plot.PiePlot#3640,0.9997
org.jfree.chart.plot.PiePlot#657,0.999698
org.jfree.chart.plot.PiePlot#574,0.999696
org.jfree.chart.plot.PiePlot#572,0.999694
org.jfree.chart.plot.PiePlot#2636,0.999692
org.jfree.chart.plot.PiePlot#3604,0.99969
org.jfree.chart.plot.PiePlot#3650,0.999688
org.jfree.chart.plot.PiePlot#3509,0.999686
org.jfree.chart.plot.PiePlot#3505,0.999684
org.jfree.chart.plot.PiePlot#3501,0.999682
org.jfree.chart.plot.PiePlot#3497,0.99968
org.jfree.chart.plot.PiePlot#976,0.999678
org.jfree.chart.plot.PiePlot#3063,0.999676
org.jfree.chart.plot.PiePlot#651,0.999674
org.jfree.chart.plot.PiePlot#2672,0.999672
org.jfree.chart.plot.PiePlot#659,0.99967
org.jfree.chart.plot.PiePlot#3645,0.999668
org.jfree.chart.plot.PiePlot#3600,0.999666
org.jfree.chart.plot.PiePlot#575,0.999664
org.jfree.chart.plot.PiePlot#3653,0.999662
org.jfree.chart.plot.PiePlot#3637,0.99966
org.jfree.chart.plot.PiePlot#665,0.999658
org.jfree.chart.plot.PiePlot#2916,0.999656
org.jfree.chart.plot.PiePlot#2977,0.999654
org.jfree.chart.plot.PiePlot#3649,0.999652
org.jfree.chart.plot.PiePlot#974,0.99965
org.jfree.chart.plot.PiePlot#977,0.999648
org.jfree.chart.plot.PiePlot#2551,0.999646
org.jfree.chart.plot.PiePlot#2790,0.999644
org.jfree.chart.plot.PiePlot#2671,0.999642
org.jfree.chart.plot.PiePlot#306,0.99964
org.jfree.chart.plot.PiePlot#3411,0.999638
org.jfree.chart.plot.PiePlot#3399,0.999636
org.jfree.chart.plot.PiePlot#3341,0.999634
org.jfree.chart.plot.PiePlot#3326,0.999632
org.jfree.chart.plot.PiePlot#3315,0.99963
org.jfree.chart.plot.PiePlot#3312,0.999628
org.jfree.chart.plot.PiePlot#3310,0.999626
org.jfree.chart.plot.PiePlot#3064,0.999624
org.jfree.chart.plot.PiePlot#3016,0.999622
org.jfree.chart.plot.PiePlot#3052,0.99962
org.jfree.chart.plot.PiePlot#3047,0.999618
org.jfree.chart.plot.PiePlot#3025,0.999616
org.jfree.chart.plot.PiePlot#3019,0.999614
org.jfree.chart.plot.PiePlot#2914,0.999612
org.jfree.chart.plot.PiePlot#2974,0.99961
org.jfree.chart.plot.PiePlot#2848,0.999608
org.jfree.chart.plot.PiePlot#2810,0.999606
org.jfree.chart.plot.PiePlot#2778,0.999604
org.jfree.chart.plot.PiePlot#2752,0.999602
org.jfree.chart.plot.PiePlot#2713,0.9996
org.jfree.chart.plot.PiePlot#2709,0.999598
org.jfree.chart.plot.PiePlot#2705,0.999596
org.jfree.chart.plot.PiePlot#2638,0.999594
org.jfree.chart.plot.PiePlot#2603,0.999592
org.jfree.chart.plot.PiePlot#2596,0.99959
org.jfree.chart.plot.PiePlot#2590,0.999588
org.jfree.chart.plot.PiePlot#2588,0.999586
org.jfree.chart.plot.PiePlot#2587,0.999584
org.jfree.chart.plot.PiePlot#1647,0.999582
org.jfree.chart.plot.PiePlot#978,0.99958
org.jfree.chart.plot.PiePlot#638,0.999578
org.jfree.chart.plot.PiePlot#3041,0.999576
org.jfree.chart.plot.PiePlot#2398,0.999574
org.jfree.chart.plot.PiePlot#666,0.999572
org.jfree.chart.plot.PiePlot#637,0.99957
org.jfree.chart.plot.PiePlot#2670,0.999568
org.jfree.chart.plot.PiePlot#2789,0.999566
org.jfree.chart.plot.PiePlot#660,0.999564
org.jfree.chart.plot.PiePlot#576,0.999562
org.jfree.chart.plot.PiePlot#3638,0.99956
org.jfree.chart.plot.PiePlot#3240,0.999558
org.jfree.chart.plot.PiePlot#2602,0.999556
org.jfree.chart.plot.PiePlot#2777,0.999554
org.jfree.chart.plot.PiePlot#2701,0.999552
org.jfree.chart.plot.PiePlot#2595,0.99955
org.jfree.chart.plot.PiePlot#2704,0.999548
org.jfree.chart.plot.PiePlot#3040,0.999546
org.jfree.chart.plot.PiePlot#3039,0.999544
org.jfree.chart.plot.PiePlot#2973,0.999542
org.jfree.chart.plot.PiePlot#2703,0.99954
