Statement,Suspiciousness
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#49,1.0
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#133,0.999998
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#128,0.999996
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#56,0.999994
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#157,0.999992
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#78,0.99999
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#67,0.999988
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#73,0.999986
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#71,0.999984
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#75,0.999982
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#61,0.99998
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#156,0.999978
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#79,0.999976
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#52,0.999974
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#42,0.999972
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#28,0.99997
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#159,0.999968
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#155,0.999966
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#91,0.999964
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#97,0.999962
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#158,0.99996
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#80,0.999958
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#154,0.999956
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#141,0.999954
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#47,0.999952
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#95,0.99995
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#29,0.999948
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#54,0.999946
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#98,0.999944
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#144,0.999942
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#41,0.99994
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#27,0.999938
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#81,0.999936
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#142,0.999934
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#35,0.999932
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#72,0.99993
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#74,0.999928
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#161,0.999926
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#55,0.999924
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#140,0.999922
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#31,0.99992
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#38,0.999918
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#24,0.999916
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#143,0.999914
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#59,0.999912
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#92,0.99991
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#68,0.999908
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#108,0.999906
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#107,0.999904
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#151,0.999902
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#147,0.9999
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#50,0.999898
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#138,0.999896
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#135,0.999894
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#146,0.999892
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#134,0.99989
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#96,0.999888
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#60,0.999886
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#148,0.999884
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#39,0.999882
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#25,0.99988
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#162,0.999878
com.fasterxml.jackson.databind.deser.impl.JavaUtilCollectionsDeserializers#150,0.999876
com.fasterxml.jackson.databind.type.TypeFactory#378,0.999874
com.fasterxml.jackson.databind.type.TypeFactory#489,0.999872
com.fasterxml.jackson.databind.type.TypeFactory#379,0.99987
com.fasterxml.jackson.databind.type.TypeFactory#451,0.999868
com.fasterxml.jackson.databind.type.TypeFactory#369,0.999866
com.fasterxml.jackson.databind.type.TypeFactory#368,0.999864
com.fasterxml.jackson.databind.type.TypeFactory#380,0.999862
com.fasterxml.jackson.databind.type.TypeFactory#746,0.99986
com.fasterxml.jackson.databind.type.TypeFactory#1108,0.999858
com.fasterxml.jackson.databind.type.TypeFactory#751,0.999856
com.fasterxml.jackson.databind.type.TypeFactory#502,0.999854
com.fasterxml.jackson.databind.type.TypeFactory#501,0.999852
com.fasterxml.jackson.databind.type.TypeFactory#754,0.99985
com.fasterxml.jackson.databind.type.TypeFactory#755,0.999848
com.fasterxml.jackson.databind.type.TypeFactory#1088,0.999846
com.fasterxml.jackson.databind.type.TypeFactory#454,0.999844
com.fasterxml.jackson.databind.type.TypeFactory#1086,0.999842
com.fasterxml.jackson.databind.type.TypeFactory#780,0.99984
com.fasterxml.jackson.databind.type.TypeFactory#1082,0.999838
com.fasterxml.jackson.databind.type.TypeFactory#351,0.999836
com.fasterxml.jackson.databind.type.TypeFactory#458,0.999834
com.fasterxml.jackson.databind.type.TypeFactory#748,0.999832
com.fasterxml.jackson.databind.type.TypeFactory#341,0.99983
com.fasterxml.jackson.databind.type.TypeFactory#1026,0.999828
com.fasterxml.jackson.databind.type.TypeFactory#1025,0.999826
com.fasterxml.jackson.databind.type.TypeFactory#781,0.999824
com.fasterxml.jackson.databind.type.TypeFactory#1041,0.999822
com.fasterxml.jackson.databind.type.TypeFactory#1040,0.99982
com.fasterxml.jackson.databind.type.TypeFactory#186,0.999818
com.fasterxml.jackson.databind.type.TypeFactory#185,0.999816
com.fasterxml.jackson.databind.type.TypeFactory#1125,0.999814
com.fasterxml.jackson.databind.type.TypeFactory#1109,0.999812
com.fasterxml.jackson.databind.type.TypeFactory#1089,0.99981
com.fasterxml.jackson.databind.type.TypeFactory#744,0.999808
com.fasterxml.jackson.databind.type.TypeFactory#732,0.999806
com.fasterxml.jackson.databind.type.TypeFactory#734,0.999804
com.fasterxml.jackson.databind.type.TypeFactory#733,0.999802
com.fasterxml.jackson.databind.type.TypeFactory#770,0.9998
com.fasterxml.jackson.databind.type.TypeFactory#503,0.999798
com.fasterxml.jackson.databind.type.TypeFactory#769,0.999796
com.fasterxml.jackson.databind.type.TypeFactory#183,0.999794
