Statement,Suspiciousness
com.google.javascript.jscomp.CodeGenerator#343,1.0
com.google.javascript.jscomp.CodeGenerator#350,1.0
com.google.javascript.jscomp.CodeGenerator#653,1.0
com.google.javascript.jscomp.CodeGenerator#656,1.0
com.google.javascript.jscomp.CodeGenerator#657,1.0
com.google.javascript.jscomp.CodeGenerator#658,1.0
com.google.javascript.jscomp.CodeGenerator#659,1.0
com.google.javascript.jscomp.CodeGenerator#662,1.0
com.google.javascript.jscomp.CodeGenerator#663,1.0
com.google.javascript.jscomp.CodeGenerator#666,1.0
com.google.javascript.jscomp.CodeGenerator#723,1.0
com.google.javascript.jscomp.CodeGenerator#724,1.0
com.google.javascript.jscomp.parsing.IRFactory#254,1.0
com.google.javascript.jscomp.parsing.IRFactory#255,1.0
com.google.javascript.jscomp.parsing.IRFactory#257,1.0
com.google.javascript.jscomp.parsing.IRFactory#346,1.0
com.google.javascript.jscomp.parsing.IRFactory#348,1.0
com.google.javascript.jscomp.parsing.IRFactory#349,1.0
com.google.javascript.jscomp.parsing.IRFactory#350,1.0
com.google.javascript.jscomp.parsing.IRFactory#351,1.0
com.google.javascript.jscomp.parsing.IRFactory#352,1.0
com.google.javascript.jscomp.parsing.IRFactory#353,1.0
com.google.javascript.jscomp.parsing.IRFactory#354,1.0
com.google.javascript.jscomp.RenamePrototypes#336,1.0
com.google.javascript.jscomp.RenamePrototypes#377,1.0
