Statement,Suspiciousness
org.apache.commons.codec.net.QuotedPrintableCodec#69,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#70,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#72,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#114,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#119,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#131,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#143,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#151,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#174,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#176,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#178,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#179,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#180,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#181,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#182,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#183,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#184,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#186,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#189,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#194,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#198,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#199,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#229,1.0
org.apache.commons.codec.net.QuotedPrintableCodec#235,1.0
