Statement,Suspiciousness
org.apache.commons.lang.time.DurationFormatUtils#306,1.0
org.apache.commons.lang.time.DurationFormatUtils#312,1.0
org.apache.commons.lang.time.DurationFormatUtils#318,1.0
org.apache.commons.lang.time.DurationFormatUtils#319,1.0
org.apache.commons.lang.time.DurationFormatUtils#320,1.0
org.apache.commons.lang.time.DurationFormatUtils#321,1.0
org.apache.commons.lang.time.DurationFormatUtils#322,1.0
org.apache.commons.lang.time.DurationFormatUtils#323,1.0
org.apache.commons.lang.time.DurationFormatUtils#324,1.0
org.apache.commons.lang.time.DurationFormatUtils#431,1.0
org.apache.commons.lang.time.DurationFormatUtils#432,1.0
org.apache.commons.lang.time.DurationFormatUtils#433,1.0
org.apache.commons.lang.time.DurationFormatUtils#434,1.0
org.apache.commons.lang.time.DurationFormatUtils#435,1.0
org.apache.commons.lang.time.DurationFormatUtils#436,1.0
org.apache.commons.lang.time.DurationFormatUtils#437,1.0
org.apache.commons.lang.time.DurationFormatUtils#438,1.0
org.apache.commons.lang.time.DurationFormatUtils#439,1.0
org.apache.commons.lang.time.DurationFormatUtils#440,1.0
org.apache.commons.lang.time.DurationFormatUtils#441,1.0
org.apache.commons.lang.time.DurationFormatUtils#442,1.0
