Statement,Suspiciousness
org.apache.commons.math3.util.ContinuedFraction#134,1.0
org.apache.commons.math3.util.ContinuedFraction#135,1.0
org.apache.commons.math3.util.ContinuedFraction#143,1.0
org.apache.commons.math3.util.ContinuedFraction#144,1.0
org.apache.commons.math3.util.ContinuedFraction#145,1.0
org.apache.commons.math3.util.ContinuedFraction#146,1.0
org.apache.commons.math3.util.ContinuedFraction#147,1.0
org.apache.commons.math3.util.ContinuedFraction#148,1.0
org.apache.commons.math3.util.ContinuedFraction#149,1.0
org.apache.commons.math3.util.ContinuedFraction#150,1.0
org.apache.commons.math3.util.ContinuedFraction#151,1.0
org.apache.commons.math3.util.ContinuedFraction#152,1.0
org.apache.commons.math3.util.ContinuedFraction#153,1.0
org.apache.commons.math3.util.ContinuedFraction#154,1.0
org.apache.commons.math3.util.ContinuedFraction#155,1.0
org.apache.commons.math3.util.ContinuedFraction#156,1.0
org.apache.commons.math3.util.ContinuedFraction#157,1.0
org.apache.commons.math3.util.ContinuedFraction#158,1.0
org.apache.commons.math3.util.ContinuedFraction#159,1.0
org.apache.commons.math3.util.ContinuedFraction#160,1.0
org.apache.commons.math3.util.ContinuedFraction#161,1.0
org.apache.commons.math3.util.ContinuedFraction#162,1.0
org.apache.commons.math3.util.ContinuedFraction#163,1.0
org.apache.commons.math3.util.ContinuedFraction#164,1.0
org.apache.commons.math3.util.ContinuedFraction#165,1.0
org.apache.commons.math3.util.ContinuedFraction#166,1.0
org.apache.commons.math3.util.ContinuedFraction#169,1.0
org.apache.commons.math3.util.ContinuedFraction#170,1.0
org.apache.commons.math3.util.ContinuedFraction#185,1.0
org.apache.commons.math3.util.ContinuedFraction#186,1.0
org.apache.commons.math3.util.ContinuedFraction#187,1.0
org.apache.commons.math3.util.ContinuedFraction#188,1.0
org.apache.commons.math3.util.ContinuedFraction#189,1.0
