Statement,Suspiciousness
org.joda.time.MutableDateTime#638,1.0
org.joda.time.MutableDateTime#639,1.0
org.joda.time.MutableDateTime#659,1.0
org.joda.time.MutableDateTime#660,1.0
org.joda.time.MutableDateTime#680,1.0
org.joda.time.MutableDateTime#681,1.0
org.joda.time.MutableDateTime#701,1.0
org.joda.time.MutableDateTime#702,1.0
org.joda.time.MutableDateTime#722,1.0
org.joda.time.MutableDateTime#723,1.0
org.joda.time.MutableDateTime#763,1.0
org.joda.time.MutableDateTime#764,1.0
org.joda.time.MutableDateTime#784,1.0
org.joda.time.MutableDateTime#785,1.0
org.joda.time.MutableDateTime#815,1.0
org.joda.time.MutableDateTime#816,1.0
org.joda.time.MutableDateTime#846,1.0
org.joda.time.MutableDateTime#847,1.0
org.joda.time.MutableDateTime#879,1.0
org.joda.time.MutableDateTime#880,1.0
