Statement,Suspiciousness
org.jfree.chart.JFreeChart#1884,0.699593
org.jfree.chart.ChartPanel#511,0.699593
org.jfree.chart.plot.MeterPlot#218,0.685078
org.jfree.chart.plot.XYPlot#351,0.685078
org.jfree.chart.plot.CombinedRangeXYPlot#351,0.685078
org.jfree.chart.plot.CombinedDomainXYPlot#351,0.685078
org.jfree.chart.plot.ThermometerPlot#382,0.685078
org.jfree.chart.plot.PolarPlot#136,0.685078
org.jfree.chart.plot.PiePlot#531,0.685078
org.jfree.chart.plot.FastScatterPlot#174,0.685078
org.jfree.chart.plot.CategoryPlot#322,0.685078
org.jfree.chart.plot.CombinedDomainCategoryPlot#322,0.685078
org.jfree.chart.JFreeChart#1757,0.671154
org.jfree.chart.JFreeChart#1756,0.632583
org.jfree.chart.ChartPanel#510,0.632583
org.jfree.chart.plot.MeterPlot#217,0.620692
org.jfree.chart.plot.XYPlot#350,0.620692
org.jfree.chart.plot.CombinedRangeXYPlot#350,0.620692
org.jfree.chart.plot.CombinedDomainXYPlot#350,0.620692
org.jfree.chart.plot.ThermometerPlot#381,0.620692
org.jfree.chart.plot.PolarPlot#135,0.620692
org.jfree.chart.plot.PiePlot#530,0.620692
org.jfree.chart.plot.FastScatterPlot#173,0.620692
org.jfree.chart.plot.CategoryPlot#321,0.620692
org.jfree.chart.plot.CombinedDomainCategoryPlot#321,0.620692
org.jfree.chart.ChartPanel#509,0.60924
org.jfree.chart.plot.MeterPlot#216,0.598203
org.jfree.chart.plot.XYPlot#349,0.598203
org.jfree.chart.plot.CombinedRangeXYPlot#349,0.598203
org.jfree.chart.plot.CombinedDomainXYPlot#349,0.598203
org.jfree.chart.plot.ThermometerPlot#380,0.598203
org.jfree.chart.plot.PolarPlot#134,0.598203
org.jfree.chart.plot.PiePlot#529,0.598203
org.jfree.chart.plot.FastScatterPlot#172,0.598203
org.jfree.chart.plot.CategoryPlot#320,0.598203
org.jfree.chart.plot.CombinedDomainCategoryPlot#320,0.598203
org.jfree.chart.JFreeChart#1883,0.598203
org.jfree.chart.servlet.ServletUtilities#302,0.518263
org.jfree.chart.servlet.ServletUtilities#248,0.518263
org.jfree.chart.servlet.ServletUtilities#216,0.518263
org.jfree.chart.servlet.ServletUtilities#175,0.518263
org.jfree.chart.servlet.ServletUtilities#148,0.518263
org.jfree.chart.JFreeChart#1861,0.518263
org.jfree.chart.servlet.ServletUtilities#370,0.507045
org.jfree.chart.servlet.ServletUtilities#343,0.507045
org.jfree.chart.servlet.ServletUtilities#329,0.507045
org.jfree.chart.renderer.xy.CandlestickRenderer#350,0.480055
org.jfree.chart.renderer.xy.CandlestickRenderer#349,0.480055
org.jfree.chart.renderer.xy.CandlestickRenderer#351,0.433438
org.jfree.chart.JFreeChart#1882,0.433345
org.jfree.chart.renderer.xy.CandlestickRenderer#906,0.427661
org.jfree.chart.JFreeChart#1879,0.38757
org.jfree.data.time.TimeSeries#911,0.372976
org.jfree.data.time.TimeSeries#919,0.354918
org.jfree.chart.renderer.xy.CandlestickRenderer#701,0.347236
org.jfree.chart.renderer.xy.CandlestickRenderer#320,0.347236
org.jfree.chart.renderer.xy.CandlestickRenderer#319,0.339879
org.jfree.chart.renderer.xy.CandlestickRenderer#153,0.339879
org.jfree.data.time.TimeSeries#621,0.326063
org.jfree.chart.plot.XYPlot#4570,0.325256
org.jfree.chart.plot.CombinedRangeXYPlot#4570,0.325256
org.jfree.chart.plot.CombinedDomainXYPlot#4570,0.325256
org.jfree.chart.plot.XYPlot#4572,0.303002
org.jfree.chart.plot.CombinedRangeXYPlot#4572,0.303002
org.jfree.chart.plot.CombinedDomainXYPlot#4572,0.303002
org.jfree.chart.plot.XYPlot#4525,0.295976
org.jfree.chart.plot.CombinedRangeXYPlot#4525,0.295976
org.jfree.chart.plot.CombinedDomainXYPlot#4525,0.295976
org.jfree.data.time.TimeSeries#910,0.295536
org.jfree.data.time.TimeSeries#904,0.288846
org.jfree.data.xy.DefaultTableXYDataset#600,0.277653
org.jfree.data.xy.CategoryTableXYDataset#299,0.277653
org.jfree.data.xy.DefaultTableXYDataset#599,0.27223
org.jfree.data.xy.CategoryTableXYDataset#298,0.27223
org.jfree.chart.plot.XYPlot#4574,0.268296
org.jfree.chart.plot.CombinedRangeXYPlot#4574,0.268296
org.jfree.chart.plot.CombinedDomainXYPlot#4574,0.268296
org.jfree.chart.renderer.xy.XYBlockRenderer#320,0.262564
org.jfree.data.general.DatasetUtilities#1199,0.258375
org.jfree.data.general.DatasetUtilities#883,0.256614
org.jfree.data.general.DatasetUtilities#813,0.256614
org.jfree.chart.plot.PolarPlot#915,0.25597
org.jfree.chart.plot.PolarPlot#914,0.253832
org.jfree.data.general.DatasetUtilities#1213,0.252901
org.jfree.data.general.DatasetUtilities#1198,0.252901
org.jfree.data.general.DatasetUtilities#956,0.252901
org.jfree.chart.renderer.xy.XYBlockRenderer#293,0.251291
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#974,0.251291
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#933,0.251291
org.jfree.chart.plot.XYPlot#4589,0.250345
org.jfree.chart.plot.CombinedRangeXYPlot#4589,0.250345
org.jfree.chart.plot.CombinedDomainXYPlot#4589,0.250345
org.jfree.chart.plot.PolarPlot#913,0.249688
org.jfree.data.xy.DefaultTableXYDataset#596,0.24888
org.jfree.data.xy.DefaultTableXYDataset#595,0.24888
org.jfree.data.xy.CategoryTableXYDataset#295,0.24888
org.jfree.data.xy.CategoryTableXYDataset#294,0.24888
org.jfree.data.general.DatasetUtilities#1212,0.247654
org.jfree.data.general.DatasetUtilities#955,0.247654
org.jfree.data.general.DatasetUtilities#942,0.247654
org.jfree.data.general.DatasetUtilities#888,0.247654
org.jfree.data.general.DatasetUtilities#818,0.247654
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1249,0.246785
org.jfree.chart.renderer.xy.XYBarRenderer#1249,0.246785
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#973,0.246785
org.jfree.chart.renderer.category.StackedBarRenderer#222,0.246785
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#932,0.246785
org.jfree.chart.renderer.xy.XYBlockRenderer#319,0.246743
org.jfree.chart.plot.XYPlot#4588,0.246657
org.jfree.chart.plot.CombinedRangeXYPlot#4588,0.246657
org.jfree.chart.plot.CombinedDomainXYPlot#4588,0.246657
org.jfree.chart.plot.XYPlot#4584,0.246579
org.jfree.chart.plot.CombinedRangeXYPlot#4584,0.246579
org.jfree.chart.plot.CombinedDomainXYPlot#4584,0.246579
org.jfree.chart.plot.XYPlot#4583,0.246579
org.jfree.chart.plot.CombinedRangeXYPlot#4583,0.246579
org.jfree.chart.plot.CombinedDomainXYPlot#4583,0.246579
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#970,0.24568
org.jfree.chart.renderer.xy.XYBlockRenderer#318,0.244508
org.jfree.data.general.DatasetUtilities#941,0.242621
org.jfree.data.general.DatasetUtilities#887,0.242621
org.jfree.data.general.DatasetUtilities#817,0.242621
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1248,0.24244
org.jfree.chart.renderer.xy.XYBarRenderer#1248,0.24244
org.jfree.chart.renderer.category.StackedBarRenderer#221,0.24244
org.jfree.chart.plot.XYPlot#4587,0.242124
org.jfree.chart.plot.CombinedRangeXYPlot#4587,0.242124
org.jfree.chart.plot.CombinedDomainXYPlot#4587,0.242124
org.jfree.chart.plot.CategoryPlot#4389,0.240586
org.jfree.chart.plot.CombinedDomainCategoryPlot#4389,0.240586
org.jfree.chart.plot.CategoryPlot#4373,0.240169
org.jfree.chart.plot.CombinedDomainCategoryPlot#4373,0.240169
org.jfree.chart.renderer.xy.XYBlockRenderer#292,0.240077
org.jfree.data.general.DatasetUtilities#915,0.239429
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#929,0.23825
org.jfree.chart.renderer.xy.XYBlockRenderer#291,0.237758
org.jfree.data.general.DatasetUtilities#878,0.236632
org.jfree.data.general.DatasetUtilities#808,0.236632
org.jfree.chart.plot.PolarPlot#911,0.236338
org.jfree.chart.plot.XYPlot#4575,0.236241
org.jfree.chart.plot.CombinedRangeXYPlot#4575,0.236241
org.jfree.chart.plot.CombinedDomainXYPlot#4575,0.236241
org.jfree.chart.plot.XYPlot#4552,0.235894
org.jfree.chart.plot.CombinedRangeXYPlot#4552,0.235894
org.jfree.chart.plot.CombinedDomainXYPlot#4552,0.235894
org.jfree.data.general.DatasetUtilities#921,0.235817
org.jfree.chart.plot.XYPlot#4579,0.235384
org.jfree.chart.plot.CombinedRangeXYPlot#4579,0.235384
org.jfree.chart.plot.CombinedDomainXYPlot#4579,0.235384
org.jfree.data.general.DatasetUtilities#843,0.232922
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#921,0.23246
org.jfree.data.general.DatasetUtilities#920,0.231714
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1247,0.231591
org.jfree.chart.renderer.xy.XYBarRenderer#1247,0.231591
org.jfree.chart.axis.ValueAxis#886,0.231537
org.jfree.chart.axis.ValueAxis#843,0.231537
org.jfree.chart.plot.XYPlot#4578,0.230787
org.jfree.chart.plot.CombinedRangeXYPlot#4578,0.230787
org.jfree.chart.plot.CombinedDomainXYPlot#4578,0.230787
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#917,0.229711
org.jfree.data.general.DatasetUtilities#848,0.228677
org.jfree.chart.renderer.category.StackedBarRenderer#218,0.227478
org.jfree.chart.plot.PolarPlot#782,0.226289
org.jfree.chart.plot.PolarPlot#799,0.225679
org.jfree.data.general.DatasetUtilities#910,0.224907
org.jfree.chart.renderer.xy.CandlestickRenderer#882,0.224757
org.jfree.data.general.DatasetUtilities#847,0.224379
org.jfree.chart.renderer.category.StackedBarRenderer#214,0.223915
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1230,0.221964
org.jfree.chart.renderer.xy.XYBarRenderer#1230,0.221964
org.jfree.data.general.DatasetUtilities#838,0.219418
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1229,0.217963
org.jfree.chart.renderer.xy.XYBarRenderer#1229,0.217963
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#908,0.217963
org.jfree.data.general.DatasetUtilities#726,0.217455
org.jfree.chart.plot.XYPlot#3874,0.21517
org.jfree.chart.plot.CombinedRangeXYPlot#3874,0.21517
org.jfree.chart.plot.CombinedDomainXYPlot#3874,0.21517
org.jfree.chart.plot.XYPlot#3843,0.21517
org.jfree.chart.plot.CombinedRangeXYPlot#3843,0.21517
org.jfree.chart.plot.CombinedDomainXYPlot#3843,0.21517
org.jfree.chart.plot.XYPlot#4580,0.214898
org.jfree.chart.plot.CombinedRangeXYPlot#4580,0.214898
org.jfree.chart.plot.CombinedDomainXYPlot#4580,0.214898
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#907,0.214107
org.jfree.chart.axis.ValueAxis#889,0.213263
org.jfree.chart.axis.ValueAxis#846,0.213263
org.jfree.data.general.DatasetUtilities#725,0.212943
org.jfree.data.general.DatasetUtilities#677,0.212943
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#944,0.210761
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#940,0.21019
org.jfree.data.general.DatasetUtilities#676,0.208615
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#1228,0.208535
org.jfree.chart.renderer.xy.XYBarRenderer#1228,0.208535
org.jfree.data.general.DatasetUtilities#664,0.20833
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#904,0.206801
org.jfree.data.general.DatasetUtilities#672,0.206369
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#896,0.205479
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#892,0.203573
org.jfree.chart.plot.XYPlot#4556,0.199997
org.jfree.chart.plot.CombinedRangeXYPlot#4556,0.199997
org.jfree.chart.plot.CombinedDomainXYPlot#4556,0.199997
org.jfree.chart.plot.PolarPlot#774,0.199829
org.jfree.chart.plot.XYPlot#3873,0.199728
org.jfree.chart.plot.CombinedRangeXYPlot#3873,0.199728
org.jfree.chart.plot.CombinedDomainXYPlot#3873,0.199728
org.jfree.chart.plot.XYPlot#3842,0.199728
org.jfree.chart.plot.CombinedRangeXYPlot#3842,0.199728
org.jfree.chart.plot.CombinedDomainXYPlot#3842,0.199728
org.jfree.chart.plot.XYPlot#4534,0.197061
org.jfree.chart.plot.CombinedRangeXYPlot#4534,0.197061
org.jfree.chart.plot.CombinedDomainXYPlot#4534,0.197061
org.jfree.data.general.DatasetUtilities#709,0.196626
org.jfree.data.general.DatasetUtilities#699,0.195981
org.jfree.data.general.DatasetUtilities#708,0.19293
org.jfree.data.general.DatasetUtilities#704,0.191304
org.jfree.data.xy.XYSeries#283,0.190264
org.jfree.chart.text.TextUtilities#798,0.185675
org.jfree.chart.text.TextUtilities#698,0.185675
org.jfree.chart.text.TextUtilities#611,0.185675
org.jfree.chart.text.TextUtilities#359,0.185675
org.jfree.chart.plot.PolarPlot#785,0.185675
org.jfree.chart.plot.PiePlot#2784,0.185675
org.jfree.chart.axis.ValueAxis#881,0.181984
org.jfree.chart.axis.ValueAxis#838,0.181984
org.jfree.chart.plot.XYPlot#4538,0.178361
org.jfree.chart.plot.CombinedRangeXYPlot#4538,0.178361
org.jfree.chart.plot.CombinedDomainXYPlot#4538,0.178361
org.jfree.chart.plot.MeterPlot#1138,0.17706
org.jfree.chart.text.TextBlock#195,0.17706
org.jfree.chart.plot.PolarPlot#801,0.17706
org.jfree.chart.axis.ValueAxis#891,0.17706
org.jfree.chart.axis.ValueAxis#848,0.17706
org.jfree.chart.ChartPanel#3088,0.17612
org.jfree.data.time.TimeSeries#614,0.175904
org.jfree.data.xy.XYSeries#820,0.174846
org.jfree.data.xy.XYSeries#819,0.174846
org.jfree.data.xy.XYSeries#678,0.174846
org.jfree.data.xy.XYSeries#679,0.174846
org.jfree.data.xy.XYSeries#563,0.174846
org.jfree.data.xy.XYSeries#388,0.174846
org.jfree.data.xy.XYSeries#292,0.174846
org.jfree.data.xy.XYSeries#291,0.174846
org.jfree.data.xy.XYSeries#284,0.174846
org.jfree.data.time.TimeSeries#1235,0.174846
org.jfree.data.time.TimeSeries#1234,0.174846
org.jfree.data.time.TimeSeries#938,0.174846
org.jfree.data.time.TimeSeries#886,0.174846
org.jfree.data.time.TimeSeries#839,0.174846
org.jfree.data.time.TimeSeries#838,0.174846
org.jfree.data.time.TimeSeries#732,0.174846
org.jfree.data.time.TimeSeries#731,0.174846
org.jfree.data.time.TimeSeries#1006,0.174846
org.jfree.chart.plot.XYPlot#3680,0.174594
org.jfree.chart.plot.CombinedRangeXYPlot#3680,0.174594
org.jfree.chart.plot.CombinedDomainXYPlot#3680,0.174594
org.jfree.chart.axis.SymbolAxis#691,0.174369
org.jfree.chart.axis.SymbolAxis#597,0.174369
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#1117,0.174324
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1969,0.174324
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer#290,0.172499
org.jfree.chart.renderer.xy.CandlestickRenderer#576,0.172499
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#924,0.172499
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#901,0.172499
org.jfree.data.general.DatasetUtilities#2052,0.172499
org.jfree.data.general.DatasetUtilities#863,0.172499
org.jfree.data.general.DatasetUtilities#795,0.172499
org.jfree.data.general.DatasetUtilities#1851,0.172499
org.jfree.chart.plot.PiePlot#2787,0.171763
org.jfree.chart.plot.XYPlot#4152,0.171552
org.jfree.chart.plot.CombinedRangeXYPlot#4152,0.171552
org.jfree.chart.plot.CombinedDomainXYPlot#4152,0.171552
org.jfree.data.xy.XYSeries#266,0.171128
org.jfree.chart.plot.CategoryPlot#4599,0.169882
org.jfree.chart.plot.CombinedDomainCategoryPlot#4599,0.169882
org.jfree.chart.plot.XYPlot#3678,0.169246
org.jfree.chart.plot.CombinedRangeXYPlot#3678,0.169246
org.jfree.chart.plot.CombinedDomainXYPlot#3678,0.169246
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer#289,0.16892
org.jfree.chart.renderer.xy.CandlestickRenderer#575,0.16892
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#923,0.16892
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#900,0.16892
org.jfree.data.general.DatasetUtilities#2051,0.16892
org.jfree.data.general.DatasetUtilities#1850,0.16892
org.jfree.data.general.DatasetUtilities#862,0.16892
org.jfree.data.general.DatasetUtilities#794,0.16892
org.jfree.chart.plot.XYPlot#4569,0.167573
org.jfree.chart.plot.CombinedRangeXYPlot#4569,0.167573
org.jfree.chart.plot.CombinedDomainXYPlot#4569,0.167573
org.jfree.chart.plot.CategoryPlot#4388,0.167573
org.jfree.chart.plot.CombinedDomainCategoryPlot#4388,0.167573
org.jfree.chart.plot.XYPlot#5505,0.167382
org.jfree.chart.plot.CombinedRangeXYPlot#5505,0.167382
org.jfree.chart.plot.CombinedDomainXYPlot#5505,0.167382
org.jfree.chart.plot.CategoryPlot#4941,0.167382
org.jfree.chart.plot.CombinedDomainCategoryPlot#4941,0.167382
org.jfree.data.general.DatasetUtilities#1446,0.166546
org.jfree.chart.plot.CategoryPlot#4595,0.165523
org.jfree.chart.plot.CombinedDomainCategoryPlot#4595,0.165523
org.jfree.data.general.DatasetUtilities#1400,0.165497
org.jfree.data.general.DatasetUtilities#1423,0.164774
org.jfree.data.time.TimeSeries#1247,0.164734
org.jfree.data.general.DatasetUtilities#1469,0.163993
org.jfree.data.general.DatasetUtilities#1383,0.163644
org.jfree.chart.renderer.xy.AbstractXYItemRenderer#1119,0.163642
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1970,0.163642
org.jfree.chart.plot.CategoryPlot#5226,0.163592
org.jfree.chart.plot.CombinedDomainCategoryPlot#5226,0.163592
org.jfree.chart.plot.PiePlot#1651,0.163161
org.jfree.chart.text.TextUtilities#289,0.162117
org.jfree.data.xy.XYSeries#303,0.162035
org.jfree.chart.plot.XYPlot#5768,0.161464
org.jfree.chart.plot.CombinedRangeXYPlot#5768,0.161464
org.jfree.chart.plot.CombinedDomainXYPlot#5768,0.161464
org.jfree.chart.plot.CategoryPlot#4229,0.161132
org.jfree.chart.plot.CombinedDomainCategoryPlot#4229,0.161132
org.jfree.data.time.TimeSeries#1233,0.160631
org.jfree.data.time.TimeSeries#937,0.160631
org.jfree.data.time.TimeSeries#885,0.160631
org.jfree.data.time.TimeSeries#610,0.160104
org.jfree.data.general.DatasetUtilities#1800,0.160069
org.jfree.data.general.DatasetUtilities#1744,0.160069
org.jfree.data.general.DatasetUtilities#1683,0.160069
org.jfree.data.general.DatasetUtilities#1627,0.160069
org.jfree.data.xy.XYSeries#309,0.159725
org.jfree.data.general.DatasetUtilities#1107,0.159526
org.jfree.chart.text.TextUtilities#292,0.159089
org.jfree.chart.plot.XYPlot#5979,0.158912
org.jfree.chart.plot.CombinedRangeXYPlot#5979,0.158912
org.jfree.chart.plot.CombinedDomainXYPlot#5979,0.158912
org.jfree.chart.plot.MeterPlot#1139,0.158179
org.jfree.chart.plot.XYPlot#4593,0.15751
org.jfree.chart.plot.CombinedRangeXYPlot#4593,0.15751
org.jfree.chart.plot.CombinedDomainXYPlot#4593,0.15751
org.jfree.chart.plot.XYPlot#4558,0.15751
org.jfree.chart.plot.CombinedRangeXYPlot#4558,0.15751
org.jfree.chart.plot.CombinedDomainXYPlot#4558,0.15751
org.jfree.chart.plot.XYPlot#4541,0.15751
org.jfree.chart.plot.CombinedRangeXYPlot#4541,0.15751
org.jfree.chart.plot.CombinedDomainXYPlot#4541,0.15751
org.jfree.chart.plot.XYPlot#2756,0.156454
org.jfree.chart.plot.CombinedRangeXYPlot#2756,0.156454
org.jfree.chart.plot.CombinedDomainXYPlot#2756,0.156454
org.jfree.chart.plot.CategoryPlot#2759,0.156454
org.jfree.chart.plot.CombinedDomainCategoryPlot#2759,0.156454
org.jfree.data.general.DatasetUtilities#1106,0.15645
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#153,0.156101
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer#148,0.155939
org.jfree.chart.ChartPanel#3090,0.15482
org.jfree.data.general.DatasetUtilities#1320,0.15482
org.jfree.data.general.DatasetUtilities#1084,0.154811
org.jfree.data.general.DatasetUtilities#180,0.154051
org.jfree.chart.plot.XYPlot#3870,0.152751
org.jfree.chart.plot.CombinedRangeXYPlot#3870,0.152751
org.jfree.chart.plot.CombinedDomainXYPlot#3870,0.152751
org.jfree.chart.plot.CombinedRangeXYPlot#590,0.152524
org.jfree.chart.plot.CombinedDomainXYPlot#208,0.152524
org.jfree.chart.plot.CombinedRangeXYPlot#676,0.152329
org.jfree.data.general.DatasetUtilities#1056,0.152277
org.jfree.data.general.DatasetUtilities#1043,0.151259
org.jfree.data.time.TimeSeries#1251,0.151228
org.jfree.chart.plot.CombinedRangeXYPlot#588,0.150861
org.jfree.chart.plot.CombinedDomainXYPlot#206,0.150861
org.jfree.chart.text.TextBlock#189,0.150808
org.jfree.chart.plot.XYPlot#3836,0.150768
org.jfree.chart.plot.CombinedRangeXYPlot#3836,0.150768
org.jfree.chart.plot.CombinedDomainXYPlot#3836,0.150768
org.jfree.data.general.DatasetUtilities#1307,0.15058
org.jfree.data.general.DatasetUtilities#308,0.150171
org.jfree.chart.plot.XYPlot#2766,0.149898
org.jfree.chart.plot.CombinedRangeXYPlot#2766,0.149898
org.jfree.chart.plot.CombinedDomainXYPlot#2766,0.149898
org.jfree.chart.plot.XYPlot#2757,0.149898
org.jfree.chart.plot.CombinedRangeXYPlot#2757,0.149898
