Statement,Suspiciousness
org.apache.commons.codec.digest.DigestUtils#49,0.531253
org.apache.commons.codec.binary.Base64InputStream#73,0.447611
org.apache.commons.codec.binary.Base64InputStream#60,0.447611
org.apache.commons.codec.binary.Base64InputStream#95,0.447611
org.apache.commons.codec.net.URLCodec#167,0.441926
org.apache.commons.codec.net.URLCodec#132,0.441926
org.apache.commons.codec.net.QuotedPrintableCodec#181,0.441926
org.apache.commons.codec.net.QuotedPrintableCodec#147,0.441926
org.apache.commons.codec.digest.DigestUtils#528,0.431725
org.apache.commons.codec.digest.DigestUtils#481,0.431725
org.apache.commons.codec.digest.DigestUtils#434,0.431725
org.apache.commons.codec.digest.DigestUtils#387,0.431725
org.apache.commons.codec.digest.DigestUtils#340,0.431725
org.apache.commons.codec.digest.DigestUtils#250,0.431725
org.apache.commons.codec.digest.DigestUtils#214,0.431725
org.apache.commons.codec.digest.DigestUtils#293,0.431725
org.apache.commons.codec.digest.DigestUtils#178,0.431725
org.apache.commons.codec.digest.DigestUtils#568,0.431725
org.apache.commons.codec.digest.DigestUtils#51,0.381482
org.apache.commons.codec.digest.DigestUtils#55,0.381482
org.apache.commons.codec.digest.DigestUtils#50,0.3806
org.apache.commons.codec.digest.DigestUtils#53,0.364218
org.apache.commons.codec.net.QuotedPrintableCodec#140,0.351749
org.apache.commons.codec.net.QuotedPrintableCodec#118,0.343763
org.apache.commons.codec.binary.Base64InputStream#145,0.331792
org.apache.commons.codec.binary.Base64InputStream#147,0.331623
org.apache.commons.codec.net.QuotedPrintableCodec#177,0.318774
org.apache.commons.codec.net.URLCodec#163,0.313277
org.apache.commons.codec.binary.Base64InputStream#143,0.301782
org.apache.commons.codec.language.DoubleMetaphone#920,0.29893
org.apache.commons.codec.binary.Base64#749,0.293323
org.apache.commons.codec.net.BCodec#78,0.289646
org.apache.commons.codec.net.BCodec#85,0.289646
org.apache.commons.codec.binary.Base64InputStream#164,0.289237
org.apache.commons.codec.binary.Base64OutputStream#159,0.287143
org.apache.commons.codec.binary.Base64InputStream#141,0.28377
org.apache.commons.codec.binary.Base64OutputStream#157,0.280302
org.apache.commons.codec.binary.Base64OutputStream#72,0.27909
org.apache.commons.codec.binary.Base64OutputStream#59,0.27909
org.apache.commons.codec.binary.Base64OutputStream#94,0.27909
org.apache.commons.codec.binary.Base64InputStream#108,0.276907
org.apache.commons.codec.net.URLCodec#124,0.276101
org.apache.commons.codec.net.BCodec#89,0.274044
org.apache.commons.codec.net.BCodec#82,0.274044
org.apache.commons.codec.binary.Base64InputStream#139,0.271976
org.apache.commons.codec.binary.Base64InputStream#138,0.271976
org.apache.commons.codec.digest.DigestUtils#36,0.269524
org.apache.commons.codec.binary.Base64#820,0.256907
org.apache.commons.codec.binary.Base64InputStream#178,0.250353
org.apache.commons.codec.binary.Base64#984,0.240277
org.apache.commons.codec.binary.Base64OutputStream#189,0.238094
org.apache.commons.codec.binary.Base64#918,0.235981
org.apache.commons.codec.binary.Base64#983,0.232042
org.apache.commons.codec.binary.Base64#754,0.232042
org.apache.commons.codec.binary.Base64#944,0.22735
org.apache.commons.codec.binary.Base64OutputStream#187,0.224613
org.apache.commons.codec.language.DoubleMetaphone#928,0.223361
org.apache.commons.codec.binary.Base64OutputStream#161,0.22075
org.apache.commons.codec.binary.Base64#857,0.216646
org.apache.commons.codec.binary.Base64#856,0.216646
org.apache.commons.codec.binary.Base64#846,0.216646
org.apache.commons.codec.binary.Base64#845,0.216646
org.apache.commons.codec.binary.Base64#1025,0.213836
org.apache.commons.codec.binary.Base64#721,0.210259
org.apache.commons.codec.binary.Base64#720,0.210259
org.apache.commons.codec.language.ColognePhonetic#284,0.210116
org.apache.commons.codec.language.ColognePhonetic#283,0.210116
org.apache.commons.codec.language.ColognePhonetic#224,0.210116
org.apache.commons.codec.language.ColognePhonetic#223,0.210116
org.apache.commons.codec.binary.Base64#919,0.209622
org.apache.commons.codec.binary.Base64OutputStream#192,0.203955
org.apache.commons.codec.binary.Base64OutputStream#191,0.203955
org.apache.commons.codec.binary.Base64OutputStream#190,0.203955
org.apache.commons.codec.binary.Base64InputStream#111,0.203374
org.apache.commons.codec.binary.Base64InputStream#110,0.203374
org.apache.commons.codec.binary.Base64InputStream#109,0.203374
org.apache.commons.codec.binary.Base64#920,0.201771
org.apache.commons.codec.language.DoubleMetaphone#924,0.200098
org.apache.commons.codec.binary.Base64#346,0.197196
org.apache.commons.codec.binary.Base64#726,0.196035
org.apache.commons.codec.net.RFC1522Codec#118,0.195713
org.apache.commons.codec.binary.Base64#383,0.195325
org.apache.commons.codec.binary.Base64#643,0.193724
org.apache.commons.codec.binary.Base64#642,0.193724
org.apache.commons.codec.binary.Base64#949,0.192464
org.apache.commons.codec.binary.Base64#833,0.190901
org.apache.commons.codec.binary.Base64#725,0.190616
org.apache.commons.codec.binary.Base64#979,0.189249
org.apache.commons.codec.binary.Base64#670,0.18772
org.apache.commons.codec.binary.Base64#669,0.18772
org.apache.commons.codec.binary.Base64#707,0.18751
org.apache.commons.codec.binary.Base64#706,0.18751
org.apache.commons.codec.language.DoubleMetaphone#925,0.186602
org.apache.commons.codec.language.DoubleMetaphone#921,0.186602
org.apache.commons.codec.binary.Base64OutputStream#75,0.184295
org.apache.commons.codec.binary.Base64InputStream#76,0.184295
org.apache.commons.codec.binary.Base64#696,0.18267
org.apache.commons.codec.binary.Base64#695,0.18267
org.apache.commons.codec.binary.Base64#825,0.18211
org.apache.commons.codec.binary.Base64#382,0.181995
org.apache.commons.codec.binary.Base64#723,0.181986
org.apache.commons.codec.binary.Base64#683,0.181683
org.apache.commons.codec.binary.Base64#682,0.181683
org.apache.commons.codec.net.QCodec#148,0.17874
org.apache.commons.codec.binary.Base64OutputStream#97,0.171899
org.apache.commons.codec.binary.Base64InputStream#98,0.171899
org.apache.commons.codec.binary.Base64#1008,0.171854
org.apache.commons.codec.binary.Base64#1007,0.171854
org.apache.commons.codec.binary.Base64#641,0.170483
org.apache.commons.codec.binary.Base64#1021,0.170413
org.apache.commons.codec.net.QCodec#159,0.162851
org.apache.commons.codec.binary.BinaryCodec#94,0.157081
org.apache.commons.codec.binary.Base64#625,0.155053
org.apache.commons.codec.binary.Base64InputStream#114,0.154374
org.apache.commons.codec.binary.Base64InputStream#113,0.154374
org.apache.commons.codec.net.QCodec#160,0.154162
org.apache.commons.codec.binary.Base64#1054,0.154162
org.apache.commons.codec.binary.Base64#868,0.154035
org.apache.commons.codec.language.DoubleMetaphone#87,0.152636
org.apache.commons.codec.binary.Base64#882,0.151216
org.apache.commons.codec.binary.BinaryCodec#111,0.147832
org.apache.commons.codec.binary.StringUtils#190,0.147501
org.apache.commons.codec.binary.StringUtils#189,0.147501
org.apache.commons.codec.binary.Base64#658,0.147051
org.apache.commons.codec.binary.Base64#657,0.147051
org.apache.commons.codec.binary.Base64#1035,0.146535
org.apache.commons.codec.binary.Base64OutputStream#51,0.14651
org.apache.commons.codec.binary.Base64InputStream#52,0.14651
org.apache.commons.codec.binary.Hex#273,0.145499
org.apache.commons.codec.binary.Base64#895,0.145438
org.apache.commons.codec.binary.Base64#894,0.145438
org.apache.commons.codec.binary.Base64#406,0.144835
org.apache.commons.codec.binary.StringUtils#185,0.143736
org.apache.commons.codec.binary.Base64InputStream#172,0.143412
org.apache.commons.codec.binary.Hex#74,0.1429
org.apache.commons.codec.binary.BinaryCodec#44,0.1429
org.apache.commons.codec.binary.Base64OutputStream#160,0.1429
org.apache.commons.codec.binary.Base64#766,0.1429
org.apache.commons.codec.binary.Base64#782,0.142481
org.apache.commons.codec.binary.Base64#783,0.142481
org.apache.commons.codec.binary.Hex#272,0.140682
org.apache.commons.codec.binary.Base64#407,0.14004
org.apache.commons.codec.binary.Base64#378,0.139984
org.apache.commons.codec.binary.Base64#377,0.139984
org.apache.commons.codec.binary.BinaryCodec#238,0.139469
org.apache.commons.codec.binary.BinaryCodec#198,0.139469
org.apache.commons.codec.binary.BinaryCodec#171,0.139469
org.apache.commons.codec.binary.Base64#961,0.139469
org.apache.commons.codec.binary.Base64#950,0.139469
org.apache.commons.codec.binary.Base64#755,0.139469
org.apache.commons.codec.binary.BinaryCodec#115,0.139076
org.apache.commons.codec.binary.Base64#409,0.138429
org.apache.commons.codec.binary.Hex#66,0.138364
org.apache.commons.codec.binary.Base64OutputStream#139,0.137674
org.apache.commons.codec.net.QCodec#153,0.136278
org.apache.commons.codec.binary.Base64InputStream#165,0.136204
org.apache.commons.codec.binary.Base64#869,0.136204
org.apache.commons.codec.binary.BinaryCodec#193,0.135053
org.apache.commons.codec.binary.StringUtils#222,0.134553
org.apache.commons.codec.binary.StringUtils#283,0.134553
org.apache.commons.codec.binary.StringUtils#282,0.134553
org.apache.commons.codec.binary.StringUtils#268,0.134553
org.apache.commons.codec.binary.StringUtils#267,0.134553
org.apache.commons.codec.binary.StringUtils#253,0.134553
org.apache.commons.codec.binary.StringUtils#252,0.134553
org.apache.commons.codec.binary.StringUtils#238,0.134553
org.apache.commons.codec.binary.StringUtils#237,0.134553
org.apache.commons.codec.binary.StringUtils#223,0.134553
org.apache.commons.codec.binary.Base64#627,0.134143
org.apache.commons.codec.binary.Base64#626,0.134143
org.apache.commons.codec.binary.Base64OutputStream#138,0.132377
org.apache.commons.codec.binary.BinaryCodec#166,0.131681
org.apache.commons.codec.binary.Base64OutputStream#49,0.131449
org.apache.commons.codec.binary.Base64InputStream#50,0.131449
org.apache.commons.codec.binary.StringUtils#208,0.130728
org.apache.commons.codec.binary.StringUtils#207,0.130728
org.apache.commons.codec.binary.Base64#388,0.130124
org.apache.commons.codec.binary.BinaryCodec#233,0.130059
org.apache.commons.codec.binary.Base64#1042,0.129662
org.apache.commons.codec.binary.Base64#1041,0.129662
org.apache.commons.codec.binary.Base64#1056,0.129662
org.apache.commons.codec.net.URLCodec#264,0.127591
org.apache.commons.codec.net.URLCodec#223,0.127591
org.apache.commons.codec.net.QuotedPrintableCodec#381,0.127591
org.apache.commons.codec.net.QuotedPrintableCodec#276,0.127591
org.apache.commons.codec.net.URLCodec#268,0.127115
org.apache.commons.codec.net.URLCodec#227,0.127115
org.apache.commons.codec.net.QuotedPrintableCodec#385,0.127115
org.apache.commons.codec.net.QuotedPrintableCodec#280,0.127115
org.apache.commons.codec.binary.Base64#801,0.126727
org.apache.commons.codec.binary.Base64#800,0.126727
org.apache.commons.codec.binary.Base64OutputStream#158,0.126613
org.apache.commons.codec.binary.Base64#827,0.12584
org.apache.commons.codec.net.URLCodec#331,0.125218
org.apache.commons.codec.net.URLCodec#332,0.125218
org.apache.commons.codec.net.URLCodec#307,0.125218
org.apache.commons.codec.net.URLCodec#306,0.125218
org.apache.commons.codec.net.URLCodec#209,0.125218
org.apache.commons.codec.net.URLCodec#208,0.125218
org.apache.commons.codec.net.URLCodec#184,0.125218
org.apache.commons.codec.net.URLCodec#151,0.125218
org.apache.commons.codec.net.URLCodec#125,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#345,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#344,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#320,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#319,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#178,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#159,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#141,0.125218
org.apache.commons.codec.net.QuotedPrintableCodec#196,0.125218
org.apache.commons.codec.net.QCodec#149,0.125218
org.apache.commons.codec.net.QCodec#134,0.125218
org.apache.commons.codec.net.BCodec#79,0.125218
org.apache.commons.codec.net.BCodec#86,0.125218
org.apache.commons.codec.net.URLCodec#164,0.125218
org.apache.commons.codec.binary.StringUtils#186,0.125218
org.apache.commons.codec.binary.BinaryCodec#235,0.125218
org.apache.commons.codec.binary.BinaryCodec#234,0.125218
org.apache.commons.codec.binary.BinaryCodec#195,0.125218
org.apache.commons.codec.binary.BinaryCodec#194,0.125218
org.apache.commons.codec.binary.BinaryCodec#168,0.125218
org.apache.commons.codec.binary.BinaryCodec#167,0.125218
org.apache.commons.codec.binary.BinaryCodec#149,0.125218
org.apache.commons.codec.binary.BinaryCodec#148,0.125218
org.apache.commons.codec.binary.BinaryCodec#81,0.125218
org.apache.commons.codec.binary.BinaryCodec#80,0.125218
org.apache.commons.codec.binary.BinaryCodec#113,0.125218
org.apache.commons.codec.binary.BinaryCodec#112,0.125218
org.apache.commons.codec.binary.Base64#922,0.125218
org.apache.commons.codec.binary.Base64#722,0.125218
org.apache.commons.codec.binary.Base64OutputStream#136,0.124733
org.apache.commons.codec.net.QCodec#133,0.124583
org.apache.commons.codec.binary.BinaryCodec#95,0.124575
org.apache.commons.codec.binary.Base64OutputStream#108,0.123847
org.apache.commons.codec.binary.Base64InputStream#175,0.122119
org.apache.commons.codec.binary.Base64InputStream#174,0.122119
org.apache.commons.codec.binary.Base64InputStream#173,0.122119
org.apache.commons.codec.binary.Base64#1039,0.121843
org.apache.commons.codec.net.QuotedPrintableCodec#231,0.121069
org.apache.commons.codec.net.QuotedPrintableCodec#230,0.121069
org.apache.commons.codec.digest.DigestUtils#190,0.121069
org.apache.commons.codec.digest.DigestUtils#189,0.121069
