Statement,Suspiciousness
org.apache.commons.collections4.bidimap.TreeBidiMap#2064,0.221399
org.apache.commons.collections4.bidimap.TreeBidiMap#2069,0.202432
org.apache.commons.collections4.bidimap.TreeBidiMap#1867,0.201287
org.apache.commons.collections4.functors.DefaultEquator#42,0.201287
org.apache.commons.collections4.functors.DefaultEquator#76,0.19755
org.apache.commons.collections4.functors.DefaultEquator#75,0.19755
org.apache.commons.collections4.bidimap.TreeBidiMap#2066,0.185833
org.apache.commons.collections4.bidimap.TreeBidiMap#2065,0.172504
org.apache.commons.collections4.map.MultiValueMap#425,0.171404
org.apache.commons.collections4.map.MultiValueMap#429,0.167776
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#683,0.156958
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#682,0.153754
org.apache.commons.collections4.IterableUtils#323,0.1468
org.apache.commons.collections4.IterableUtils#171,0.1468
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#728,0.144165
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#532,0.142966
org.apache.commons.collections4.IterableUtils#321,0.140414
org.apache.commons.collections4.IterableUtils#169,0.140414
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#727,0.13915
org.apache.commons.collections4.map.MultiValueMap#436,0.136525
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#694,0.134071
org.apache.commons.collections4.map.LRUMap#280,0.133867
org.apache.commons.collections4.map.MultiValueMap#438,0.127785
org.apache.commons.collections4.map.LRUMap#398,0.127584
org.apache.commons.collections4.map.LRUMap#385,0.127584
org.apache.commons.collections4.map.LRUMap#344,0.127584
org.apache.commons.collections4.map.LRUMap#332,0.127584
org.apache.commons.collections4.map.LRUMap#269,0.127584
org.apache.commons.collections4.map.MultiValueMap#437,0.127554
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#535,0.126417
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#534,0.126417
org.apache.commons.collections4.map.MultiValueMap#431,0.123523
org.apache.commons.collections4.map.LRUMap#279,0.122166
org.apache.commons.collections4.map.LRUMap#278,0.122166
org.apache.commons.collections4.MapUtils#889,0.12109
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#688,0.120604
org.apache.commons.collections4.ListUtils#567,0.114996
org.apache.commons.collections4.map.LRUMap#267,0.114436
org.apache.commons.collections4.map.LRUMap#266,0.114436
org.apache.commons.collections4.MapUtils#891,0.111665
org.apache.commons.collections4.IteratorUtils#1508,0.110626
org.apache.commons.collections4.map.CompositeMap#72,0.109237
org.apache.commons.collections4.map.CompositeMap#84,0.109237
org.apache.commons.collections4.map.CompositeMap#73,0.109224
org.apache.commons.collections4.map.CompositeMap#85,0.109224
org.apache.commons.collections4.MapUtils#193,0.108397
org.apache.commons.collections4.keyvalue.MultiKey#253,0.107724
org.apache.commons.collections4.keyvalue.MultiKey#252,0.107724
org.apache.commons.collections4.list.AbstractLinkedList#384,0.106571
org.apache.commons.collections4.MapUtils#187,0.106479
org.apache.commons.collections4.IteratorUtils#1495,0.106314
org.apache.commons.collections4.MapUtils#194,0.105656
org.apache.commons.collections4.multimap.AbstractMultiValuedMap#739,0.105154
org.apache.commons.collections4.ListUtils#572,0.1048
org.apache.commons.collections4.IterableUtils#326,0.104229
org.apache.commons.collections4.IterableUtils#174,0.104229
org.apache.commons.collections4.map.CaseInsensitiveMap#124,0.104008
org.apache.commons.collections4.functors.PrototypeFactory#58,0.103943
org.apache.commons.collections4.IterableUtils#325,0.103637
org.apache.commons.collections4.IterableUtils#173,0.103637
org.apache.commons.collections4.MapUtils#186,0.103433
org.apache.commons.collections4.MapUtils#189,0.103036
org.apache.commons.collections4.trie.AbstractPatriciaTrie#1318,0.102908
org.apache.commons.collections4.multiset.AbstractMapMultiSet#763,0.102908
org.apache.commons.collections4.map.ListOrderedMap#361,0.102908
org.apache.commons.collections4.bag.AbstractMapBag#607,0.102908
org.apache.commons.collections4.map.LRUMap#394,0.10216
org.apache.commons.collections4.map.LRUMap#393,0.10216
org.apache.commons.collections4.map.CaseInsensitiveMap#123,0.102078
org.apache.commons.collections4.functors.StringValueTransformer#36,0.101143
org.apache.commons.collections4.map.AbstractHashedMap#1368,0.101084
org.apache.commons.collections4.list.AbstractLinkedList#388,0.101084
org.apache.commons.collections4.map.Flat3Map#1223,0.101084
org.apache.commons.collections4.map.LRUMap#263,0.101039
org.apache.commons.collections4.map.LRUMap#262,0.101039
org.apache.commons.collections4.map.AbstractHashedMap#1124,0.100547
org.apache.commons.collections4.map.AbstractHashedMap#1123,0.100547
org.apache.commons.collections4.keyvalue.AbstractKeyValue#83,0.100547
org.apache.commons.collections4.keyvalue.AbstractKeyValue#84,0.100547
org.apache.commons.collections4.map.LRUMap#395,0.100286
org.apache.commons.collections4.bidimap.TreeBidiMap#1400,0.0993265
org.apache.commons.collections4.map.LRUMap#340,0.0985692
org.apache.commons.collections4.map.LRUMap#339,0.0985692
org.apache.commons.collections4.map.LRUMap#381,0.0974282
org.apache.commons.collections4.map.LRUMap#380,0.0974282
org.apache.commons.collections4.map.LRUMap#328,0.0974282
org.apache.commons.collections4.map.LRUMap#327,0.0974282
org.apache.commons.collections4.map.LRUMap#341,0.0965538
org.apache.commons.collections4.MapUtils#195,0.0954003
org.apache.commons.collections4.map.LRUMap#382,0.0953711
org.apache.commons.collections4.map.LRUMap#329,0.0953711
org.apache.commons.collections4.IteratorUtils#1520,0.0948319
org.apache.commons.collections4.map.LRUMap#338,0.0947622
