Statement,Suspiciousness
org.apache.commons.compress.archivers.Lister#35,0.470273
org.apache.commons.compress.archivers.Lister#49,0.423082
org.apache.commons.compress.archivers.ArchiveStreamFactory#195,0.383668
org.apache.commons.compress.archivers.Lister#52,0.377882
org.apache.commons.compress.archivers.Lister#51,0.369246
org.apache.commons.compress.archivers.Lister#50,0.369246
org.apache.commons.compress.compressors.CompressorStreamFactory#244,0.366053
org.apache.commons.compress.archivers.ArchiveStreamFactory#271,0.35975
org.apache.commons.compress.archivers.ArchiveStreamFactory#282,0.348601
org.apache.commons.compress.archivers.ArchiveStreamFactory#243,0.337763
org.apache.commons.compress.archivers.ArchiveStreamFactory#236,0.337763
org.apache.commons.compress.archivers.ArchiveStreamFactory#229,0.337763
org.apache.commons.compress.archivers.ArchiveStreamFactory#222,0.337763
org.apache.commons.compress.archivers.ArchiveStreamFactory#215,0.337763
org.apache.commons.compress.archivers.ArchiveStreamFactory#208,0.337763
org.apache.commons.compress.compressors.CompressorStreamFactory#243,0.33474
org.apache.commons.compress.archivers.ArchiveStreamFactory#299,0.329296
org.apache.commons.compress.archivers.ArchiveStreamFactory#289,0.329296
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#609,0.321593
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#453,0.307583
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#187,0.299847
org.apache.commons.compress.archivers.Lister#37,0.297541
org.apache.commons.compress.archivers.zip.ZipFile#943,0.292491
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#288,0.285487
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#287,0.285487
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#389,0.285487
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#94,0.285487
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#125,0.278811
org.apache.commons.compress.archivers.ArchiveStreamFactory#339,0.278465
org.apache.commons.compress.archivers.ArchiveStreamFactory#346,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#354,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#353,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#345,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#340,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#244,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#237,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#230,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#223,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#216,0.268958
org.apache.commons.compress.archivers.ArchiveStreamFactory#209,0.268958
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream#148,0.266375
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#624,0.266353
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#623,0.266353
org.apache.commons.compress.archivers.ArchiveStreamFactory#300,0.262095
org.apache.commons.compress.archivers.ArchiveStreamFactory#290,0.262095
org.apache.commons.compress.archivers.sevenz.SevenZFile#192,0.261878
org.apache.commons.compress.archivers.ArchiveStreamFactory#336,0.25834
org.apache.commons.compress.archivers.zip.ZipFile#942,0.25496
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#616,0.249622
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#598,0.249622
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#615,0.249622
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#388,0.249622
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#93,0.249622
org.apache.commons.compress.compressors.CompressorStreamFactory#269,0.247773
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#610,0.244503
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#452,0.244503
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#124,0.244503
org.apache.commons.compress.archivers.ArchiveStreamFactory#325,0.242871
org.apache.commons.compress.archivers.ArchiveStreamFactory#351,0.240693
org.apache.commons.compress.archivers.ArchiveStreamFactory#389,0.240224
org.apache.commons.compress.compressors.CompressorStreamFactory#333,0.237175
org.apache.commons.compress.archivers.sevenz.SevenZFile#193,0.23598
org.apache.commons.compress.archivers.ArchiveStreamFactory#379,0.235973
org.apache.commons.compress.archivers.ArchiveStreamFactory#370,0.235973
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#619,0.234869
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#617,0.234869
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#611,0.234869
org.apache.commons.compress.archivers.ArchiveStreamFactory#388,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#380,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#371,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#355,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#347,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#341,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#245,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#238,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#231,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#224,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#217,0.234734
org.apache.commons.compress.archivers.ArchiveStreamFactory#210,0.234734
org.apache.commons.compress.archivers.zip.ZipFile#940,0.231899
org.apache.commons.compress.compressors.CompressorStreamFactory#263,0.230853
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#628,0.230332
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#627,0.230332
org.apache.commons.compress.archivers.ArchiveStreamFactory#301,0.22949
org.apache.commons.compress.archivers.ArchiveStreamFactory#291,0.22949
org.apache.commons.compress.archivers.ArchiveStreamFactory#205,0.228966
org.apache.commons.compress.archivers.sevenz.SevenZFile#194,0.224475
org.apache.commons.compress.archivers.ArchiveStreamFactory#279,0.224453
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#612,0.221763
org.apache.commons.compress.archivers.ArchiveStreamFactory#385,0.221242
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#183,0.217229
org.apache.commons.compress.archivers.ArchiveStreamFactory#296,0.215948
org.apache.commons.compress.archivers.jar.JarArchiveInputStream#52,0.215884
org.apache.commons.compress.archivers.jar.JarArchiveInputStream#51,0.215884
org.apache.commons.compress.archivers.sevenz.SevenZFile#608,0.213263
org.apache.commons.compress.compressors.CompressorStreamFactory#327,0.211748
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#158,0.210714
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#157,0.210714
org.apache.commons.compress.archivers.ArchiveStreamFactory#383,0.208207
org.apache.commons.compress.archivers.ArchiveStreamFactory#306,0.204284
org.apache.commons.compress.archivers.ArchiveStreamFactory#250,0.204284
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#149,0.201084
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#148,0.201084
org.apache.commons.compress.archivers.zip.BinaryTree#118,0.196591
org.apache.commons.compress.compressors.CompressorStreamFactory#214,0.195932
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#285,0.193037
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#168,0.192295
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#167,0.192295
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#330,0.190271
org.apache.commons.compress.compressors.CompressorStreamFactory#299,0.189961
org.apache.commons.compress.archivers.zip.BinaryTree#114,0.188183
org.apache.commons.compress.compressors.CompressorStreamFactory#343,0.185899
org.apache.commons.compress.archivers.ArchiveStreamFactory#145,0.184945
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#175,0.184092
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#153,0.183906
org.apache.commons.compress.archivers.zip.ZipFile#405,0.18336
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#184,0.183274
org.apache.commons.compress.compressors.CompressorStreamFactory#303,0.182006
org.apache.commons.compress.compressors.CompressorStreamFactory#283,0.182006
org.apache.commons.compress.compressors.CompressorStreamFactory#279,0.182006
org.apache.commons.compress.archivers.zip.ZipFile#562,0.182003
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream#235,0.182003
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#155,0.181632
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#142,0.181632
org.apache.commons.compress.archivers.zip.ZipFile#211,0.181632
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#332,0.181632
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#230,0.181632
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream#104,0.181632
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream#162,0.181632
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#155,0.181632
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#384,0.179167
org.apache.commons.compress.compressors.CompressorStreamFactory#351,0.178274
org.apache.commons.compress.compressors.CompressorStreamFactory#291,0.178274
org.apache.commons.compress.compressors.CompressorStreamFactory#339,0.178274
org.apache.commons.compress.compressors.CompressorStreamFactory#335,0.178274
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1516,0.176921
org.apache.commons.compress.archivers.zip.BinaryTree#113,0.176838
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#665,0.176808
org.apache.commons.compress.archivers.zip.ZipFile#444,0.176499
org.apache.commons.compress.compressors.CompressorStreamFactory#203,0.175465
org.apache.commons.compress.archivers.zip.ZipFile#208,0.175004
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#243,0.174815
org.apache.commons.compress.compressors.CompressorStreamFactory#295,0.174691
org.apache.commons.compress.compressors.CompressorStreamFactory#287,0.174691
org.apache.commons.compress.compressors.CompressorStreamFactory#271,0.174691
org.apache.commons.compress.compressors.CompressorStreamFactory#275,0.174691
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#231,0.17279
org.apache.commons.compress.archivers.ArchiveStreamFactory#284,0.17279
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#60,0.172368
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream#152,0.172368
org.apache.commons.compress.archivers.zip.ZipFile#395,0.171918
org.apache.commons.compress.compressors.CompressorStreamFactory#347,0.17125
org.apache.commons.compress.archivers.tar.TarUtils#40,0.170849
org.apache.commons.compress.archivers.ArchiveStreamFactory#173,0.169486
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#210,0.167765
org.apache.commons.compress.archivers.zip.ZipFile#563,0.167094
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1518,0.167094
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#441,0.166842
org.apache.commons.compress.archivers.zip.ZipFile#446,0.166783
org.apache.commons.compress.archivers.sevenz.SevenZFile#755,0.16594
org.apache.commons.compress.archivers.tar.TarArchiveEntry#943,0.165156
org.apache.commons.compress.archivers.tar.TarArchiveEntry#938,0.165156
org.apache.commons.compress.archivers.tar.TarArchiveEntry#853,0.165156
org.apache.commons.compress.archivers.tar.TarArchiveEntry#321,0.165156
org.apache.commons.compress.archivers.tar.TarUtils#359,0.165156
org.apache.commons.compress.archivers.zip.ZipFile#210,0.165156
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#331,0.165156
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#222,0.165156
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream#53,0.165156
org.apache.commons.compress.archivers.ArchiveStreamFactory#147,0.165156
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#61,0.163501
org.apache.commons.compress.archivers.ar.ArArchiveInputStream#89,0.162647
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#439,0.162612
org.apache.commons.compress.archivers.tar.TarUtils#356,0.162508
org.apache.commons.compress.archivers.tar.TarUtils#291,0.162508
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream#539,0.162508
org.apache.commons.compress.archivers.ArchiveStreamFactory#149,0.162508
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream#101,0.162105
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream#94,0.160263
org.apache.commons.compress.archivers.tar.TarUtils#361,0.159944
org.apache.commons.compress.archivers.tar.TarUtils#360,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1313,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1183,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1096,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1100,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#354,0.159944
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#333,0.159944
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream#51,0.159944
org.apache.commons.compress.archivers.ArchiveStreamFactory#285,0.159944
org.apache.commons.compress.archivers.ArchiveStreamFactory#178,0.159944
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#139,0.158863
org.apache.commons.compress.archivers.zip.ZipFile#443,0.15828
org.apache.commons.compress.archivers.sevenz.SevenZFile#157,0.157628
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#666,0.15746
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1523,0.15746
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1517,0.15746
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#141,0.15746
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1197,0.15746
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#993,0.15746
org.apache.commons.compress.archivers.zip.GeneralPurposeBit#220,0.15746
org.apache.commons.compress.archivers.sevenz.SevenZFile#778,0.157253
org.apache.commons.compress.archivers.sevenz.SevenZFile#820,0.156767
org.apache.commons.compress.archivers.sevenz.SevenZFile#829,0.156163
org.apache.commons.compress.archivers.sevenz.SevenZFile#808,0.156078
org.apache.commons.compress.archivers.sevenz.SevenZFile#830,0.155832
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#664,0.155566
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#93,0.155052
org.apache.commons.compress.archivers.tar.TarUtils#41,0.155052
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#221,0.155052
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#1522,0.155052
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream#114,0.155031
org.apache.commons.compress.archivers.sevenz.SevenZFile#769,0.154765
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream#197,0.154388
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream#196,0.154388
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream#150,0.154306
org.apache.commons.compress.archivers.sevenz.SevenZFile#761,0.153473
org.apache.commons.compress.archivers.sevenz.SevenZFile#805,0.152974
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#92,0.152716
org.apache.commons.compress.archivers.zip.ZipEncodingHelper#201,0.152716
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream#353,0.152716
org.apache.commons.compress.archivers.tar.TarArchiveInputStream#435,0.152321
org.apache.commons.compress.archivers.zip.ScatterZipOutputStream#95,0.151837
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream#680,0.15045
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreator#194,0.150321
org.apache.commons.compress.archivers.ArchiveStreamFactory#283,0.149979
org.apache.commons.compress.archivers.sevenz.SevenZFile#816,0.149707
