Statement,Suspiciousness
org.apache.commons.csv.CSVFormat#318,0.175252
org.apache.commons.csv.CSVPrinter#159,0.0969413
org.apache.commons.csv.CSVFormat#823,0.0906837
org.apache.commons.csv.Lexer#328,0.0857011
org.apache.commons.csv.CSVFormat#813,0.0855883
org.apache.commons.csv.CSVParser#378,0.0853804
org.apache.commons.csv.CSVPrinter#153,0.083693
org.apache.commons.csv.CSVPrinter#142,0.0831925
org.apache.commons.csv.Lexer#325,0.0830872
org.apache.commons.csv.CSVPrinter#139,0.0824258
org.apache.commons.csv.CSVPrinter#326,0.0799083
org.apache.commons.csv.CSVFormat#934,0.0797256
org.apache.commons.csv.CSVParser#379,0.0789744
org.apache.commons.csv.CSVFormat#922,0.0786302
org.apache.commons.csv.Lexer#64,0.0776421
org.apache.commons.csv.CSVPrinter#324,0.0775798
org.apache.commons.csv.CSVPrinter#135,0.0775628
org.apache.commons.csv.CSVFormat#921,0.0772346
org.apache.commons.csv.CSVPrinter#207,0.0752299
org.apache.commons.csv.CSVFormat#482,0.0748659
org.apache.commons.csv.CSVPrinter#315,0.0734364
org.apache.commons.csv.CSVFormat#1207,0.0733232
org.apache.commons.csv.CSVFormat#1286,0.0720886
org.apache.commons.csv.CSVFormat#1155,0.0720886
org.apache.commons.csv.CSVFormat#1130,0.0720886
org.apache.commons.csv.CSVFormat#1105,0.0720886
org.apache.commons.csv.CSVFormat#1080,0.0720886
org.apache.commons.csv.CSVFormat#1055,0.0720886
org.apache.commons.csv.CSVFormat#1034,0.0720886
org.apache.commons.csv.CSVFormat#966,0.0720886
org.apache.commons.csv.CSVFormat#907,0.0720886
org.apache.commons.csv.CSVFormat#889,0.0720886
org.apache.commons.csv.CSVFormat#1259,0.0720886
org.apache.commons.csv.CSVFormat#1176,0.0720886
org.apache.commons.csv.CSVFormat#1285,0.0711358
org.apache.commons.csv.CSVFormat#1258,0.0711358
org.apache.commons.csv.CSVFormat#1221,0.0711358
org.apache.commons.csv.CSVFormat#1175,0.0711358
org.apache.commons.csv.CSVFormat#1154,0.0711358
org.apache.commons.csv.CSVFormat#1129,0.0711358
org.apache.commons.csv.CSVFormat#1104,0.0711358
org.apache.commons.csv.CSVFormat#1079,0.0711358
org.apache.commons.csv.CSVFormat#965,0.0711358
org.apache.commons.csv.CSVFormat#1054,0.0711358
org.apache.commons.csv.CSVFormat#938,0.070534
org.apache.commons.csv.CSVFormat#1220,0.0702079
org.apache.commons.csv.CSVPrinter#194,0.0701086
org.apache.commons.csv.CSVFormat#680,0.0680227
org.apache.commons.csv.CSVPrinter#161,0.0673948
org.apache.commons.csv.CSVFormat#838,0.0669703
org.apache.commons.csv.Lexer#61,0.0653779
org.apache.commons.csv.CSVParser#377,0.0649365
org.apache.commons.csv.CSVParser#155,0.0644143
org.apache.commons.csv.CSVFormat#767,0.064392
org.apache.commons.csv.CSVParser#374,0.063863
org.apache.commons.csv.CSVFormat#1203,0.0631999
org.apache.commons.csv.CSVFormat#486,0.0612512
org.apache.commons.csv.CSVFormat#764,0.0612473
org.apache.commons.csv.CSVParser#498,0.0611662
org.apache.commons.csv.CSVFormat#903,0.0607127
org.apache.commons.csv.CSVParser#490,0.0607027
org.apache.commons.csv.CSVFormat#424,0.0606387
org.apache.commons.csv.CSVFormat#419,0.0599056
org.apache.commons.csv.CSVFormat#885,0.059643
org.apache.commons.csv.CSVFormat#769,0.0596426
org.apache.commons.csv.CSVPrinter#122,0.0588864
org.apache.commons.csv.CSVFormat#450,0.058573
org.apache.commons.csv.CSVPrinter#163,0.0583975
org.apache.commons.csv.CSVPrinter#125,0.0582916
org.apache.commons.csv.CSVFormat#229,0.0580227
org.apache.commons.csv.CSVFormat#843,0.0580005
org.apache.commons.csv.CSVFormat#708,0.0580005
org.apache.commons.csv.CSVFormat#1025,0.0577309
org.apache.commons.csv.CSVParser#495,0.0572545
org.apache.commons.csv.CSVFormat#824,0.0569488
org.apache.commons.csv.CSVPrinter#216,0.0568545
org.apache.commons.csv.CSVPrinter#143,0.0568545
org.apache.commons.csv.CSVFormat#707,0.056616
org.apache.commons.csv.CSVFormat#483,0.056616
org.apache.commons.csv.CSVFormat#848,0.0526444
org.apache.commons.csv.CSVFormat#378,0.0520789
org.apache.commons.csv.CSVFormat#935,0.0519864
org.apache.commons.csv.CSVRecord#110,0.0515112
org.apache.commons.csv.CSVFormat#377,0.0511857
org.apache.commons.csv.CSVFormat#204,0.0508083
org.apache.commons.csv.CSVFormat#560,0.0495658
org.apache.commons.csv.CSVFormat#559,0.0495658
org.apache.commons.csv.CSVFormat#416,0.0495658
org.apache.commons.csv.CSVFormat#437,0.0492062
org.apache.commons.csv.Lexer#192,0.0491061
org.apache.commons.csv.CSVFormat#849,0.0489319
org.apache.commons.csv.CSVParser#158,0.0485549
org.apache.commons.csv.CSVRecord#109,0.0480859
org.apache.commons.csv.CSVPrinter#201,0.0479651
org.apache.commons.csv.CSVParser#174,0.0471075
org.apache.commons.csv.CSVFormat#672,0.0469894
org.apache.commons.csv.Lexer#426,0.0466646
org.apache.commons.csv.CSVFormat#442,0.0466196
org.apache.commons.csv.CSVFormat#936,0.046178
org.apache.commons.csv.Lexer#189,0.0458003
org.apache.commons.csv.Lexer#188,0.0458003
org.apache.commons.csv.CSVRecord#107,0.0454227
org.apache.commons.csv.CSVRecord#97,0.0451696
org.apache.commons.csv.CSVFormat#844,0.0451494
org.apache.commons.csv.CSVFormat#851,0.0442287
org.apache.commons.csv.Lexer#199,0.0441996
org.apache.commons.csv.CSVFormat#444,0.0439465
org.apache.commons.csv.Lexer#425,0.0435462
org.apache.commons.csv.Lexer#51,0.0432232
org.apache.commons.csv.Lexer#427,0.0432232
org.apache.commons.csv.Lexer#414,0.0432232
org.apache.commons.csv.Lexer#247,0.0432232
org.apache.commons.csv.CSVFormat#839,0.0423212
org.apache.commons.csv.Lexer#413,0.0421397
org.apache.commons.csv.Lexer#248,0.0421397
org.apache.commons.csv.Lexer#200,0.0421397
org.apache.commons.csv.Lexer#196,0.0417563
org.apache.commons.csv.Lexer#186,0.0416204
org.apache.commons.csv.CSVRecord#54,0.0415009
org.apache.commons.csv.CSVFormat#818,0.041373
org.apache.commons.csv.CSVPrinter#174,0.0411092
org.apache.commons.csv.CSVParser#383,0.0410308
org.apache.commons.csv.CSVRecord#56,0.0409475
org.apache.commons.csv.CSVPrinter#334,0.0400864
org.apache.commons.csv.CSVPrinter#322,0.0400864
org.apache.commons.csv.Lexer#346,0.0391923
org.apache.commons.csv.Lexer#244,0.0385272
org.apache.commons.csv.CSVFormat#850,0.0384263
org.apache.commons.csv.CSVRecord#263,0.0375293
org.apache.commons.csv.CSVParser#156,0.0373253
org.apache.commons.csv.CSVPrinter#127,0.0372053
org.apache.commons.csv.CSVRecord#262,0.0369428
org.apache.commons.csv.CSVFormat#433,0.0363134
org.apache.commons.csv.Lexer#240,0.0362191
org.apache.commons.csv.CSVPrinter#61,0.035611
org.apache.commons.csv.Lexer#113,0.0355073
org.apache.commons.csv.CSVParser#201,0.0353824
org.apache.commons.csv.CSVFormat#793,0.0352636
org.apache.commons.csv.CSVFormat#461,0.035259
org.apache.commons.csv.CSVFormat#366,0.0346588
org.apache.commons.csv.CSVPrinter#126,0.0346272
org.apache.commons.csv.CSVParser#178,0.034458
org.apache.commons.csv.CSVFormat#1191,0.0342325
org.apache.commons.csv.CSVFormat#365,0.0342111
org.apache.commons.csv.Lexer#292,0.0342111
org.apache.commons.csv.Lexer#65,0.0341556
org.apache.commons.csv.CSVParser#278,0.0341398
org.apache.commons.csv.CSVParser#291,0.0339988
org.apache.commons.csv.Constants#36,0.0334344
org.apache.commons.csv.Lexer#291,0.0334135
org.apache.commons.csv.CSVFormat#342,0.0334135
org.apache.commons.csv.CSVParser#277,0.0331657
org.apache.commons.csv.CSVParser#251,0.0331657
org.apache.commons.csv.CSVFormat#184,0.0331657
org.apache.commons.csv.CSVRecord#213,0.0326725
org.apache.commons.csv.CSVFormat#341,0.0326522
org.apache.commons.csv.CSVFormat#527,0.0325196
org.apache.commons.csv.CSVPrinter#129,0.0324179
org.apache.commons.csv.CSVPrinter#128,0.0324179
org.apache.commons.csv.CSVFormat#1190,0.0319448
org.apache.commons.csv.Lexer#341,0.0313636
org.apache.commons.csv.Lexer#340,0.0313636
org.apache.commons.csv.Lexer#339,0.0313636
org.apache.commons.csv.Lexer#337,0.0313636
org.apache.commons.csv.Lexer#335,0.0313636
org.apache.commons.csv.Lexer#333,0.0313636
org.apache.commons.csv.Lexer#331,0.0313636
org.apache.commons.csv.Lexer#329,0.0313636
org.apache.commons.csv.CSVPrinter#332,0.0313636
org.apache.commons.csv.CSVPrinter#327,0.0313636
org.apache.commons.csv.CSVFormat#828,0.0312292
org.apache.commons.csv.CSVParser#289,0.0311475
org.apache.commons.csv.CSVPrinter#69,0.0308492
org.apache.commons.csv.Lexer#347,0.0306834
org.apache.commons.csv.CSVPrinter#337,0.0306834
org.apache.commons.csv.CSVPrinter#266,0.0306834
org.apache.commons.csv.CSVParser#521,0.0306834
org.apache.commons.csv.Lexer#343,0.0305773
org.apache.commons.csv.Lexer#342,0.0305773
org.apache.commons.csv.CSVPrinter#218,0.0305773
org.apache.commons.csv.CSVPrinter#214,0.0305773
org.apache.commons.csv.CSVPrinter#208,0.0305773
org.apache.commons.csv.CSVParser#512,0.0305773
org.apache.commons.csv.CSVParser#510,0.0305773
org.apache.commons.csv.CSVParser#505,0.0305773
org.apache.commons.csv.CSVParser#502,0.0305773
org.apache.commons.csv.CSVParser#499,0.0305773
org.apache.commons.csv.CSVFormat#438,0.030189
org.apache.commons.csv.CSVPrinter#281,0.0300938
org.apache.commons.csv.Lexer#345,0.0298296
org.apache.commons.csv.CSVPrinter#211,0.0298296
org.apache.commons.csv.CSVFormat#213,0.0298296
org.apache.commons.csv.CSVPrinter#227,0.029712
org.apache.commons.csv.CSVRecord#217,0.0292686
org.apache.commons.csv.CSVFormat#794,0.0291175
org.apache.commons.csv.CSVFormat#616,0.0291175
org.apache.commons.csv.CSVFormat#615,0.0291175
org.apache.commons.csv.CSVFormat#528,0.0289283
org.apache.commons.csv.CSVPrinter#439,0.0287015
org.apache.commons.csv.CSVPrinter#490,0.0287015
org.apache.commons.csv.CSVPrinter#489,0.0287015
org.apache.commons.csv.CSVPrinter#438,0.0287015
org.apache.commons.csv.CSVPrinter#63,0.0286367
org.apache.commons.csv.CSVParser#280,0.0286367
org.apache.commons.csv.CSVParser#157,0.0286367
org.apache.commons.csv.CSVParser#204,0.0286367
org.apache.commons.csv.CSVParser#176,0.0286367
org.apache.commons.csv.CSVFormat#292,0.0284861
org.apache.commons.csv.CSVPrinter#238,0.0284612
org.apache.commons.csv.CSVFormat#683,0.0284387
org.apache.commons.csv.CSVPrinter#219,0.0284203
org.apache.commons.csv.CSVRecord#111,0.0283114
org.apache.commons.csv.CSVFormat#525,0.028156
org.apache.commons.csv.CSVFormat#441,0.0280359
org.apache.commons.csv.CSVPrinter#228,0.0279742
org.apache.commons.csv.CSVPrinter#162,0.0279742
org.apache.commons.csv.CSVFormat#1143,0.0277908
org.apache.commons.csv.Lexer#83,0.0277136
org.apache.commons.csv.CSVFormat#871,0.0276957
org.apache.commons.csv.CSVPrinter#282,0.02739
org.apache.commons.csv.CSVPrinter#491,0.0273204
org.apache.commons.csv.CSVPrinter#440,0.0273204
org.apache.commons.csv.CSVPrinter#393,0.0273078
org.apache.commons.csv.CSVPrinter#373,0.0273078
org.apache.commons.csv.CSVPrinter#233,0.027277
org.apache.commons.csv.CSVFormat#276,0.0271881
org.apache.commons.csv.CSVFormat#246,0.0271881
org.apache.commons.csv.CSVFormat#1142,0.0271717
org.apache.commons.csv.CSVRecord#53,0.0271277
org.apache.commons.csv.CSVRecord#265,0.0271277
org.apache.commons.csv.CSVPrinter#124,0.0271277
org.apache.commons.csv.CSVPrinter#392,0.027006
org.apache.commons.csv.CSVPrinter#372,0.027006
org.apache.commons.csv.CSVPrinter#131,0.027006
org.apache.commons.csv.CSVRecord#252,0.0269206
org.apache.commons.csv.CSVPrinter#76,0.0268493
org.apache.commons.csv.CSVParser#526,0.0267856
org.apache.commons.csv.CSVPrinter#250,0.026613
org.apache.commons.csv.CSVPrinter#240,0.026613
org.apache.commons.csv.CSVFormat#1240,0.0264802
org.apache.commons.csv.CSVRecord#161,0.0264133
org.apache.commons.csv.CSVFormat#443,0.0261949
org.apache.commons.csv.CSVParser#376,0.0261148
org.apache.commons.csv.CSVPrinter#193,0.0259777
org.apache.commons.csv.CSVPrinter#134,0.0259777
org.apache.commons.csv.CSVPrinter#231,0.025932
org.apache.commons.csv.CSVRecord#251,0.0258931
org.apache.commons.csv.CSVRecord#160,0.0258249
org.apache.commons.csv.CSVPrinter#493,0.0255917
org.apache.commons.csv.CSVPrinter#442,0.0255917
org.apache.commons.csv.CSVPrinter#239,0.0254465
org.apache.commons.csv.CSVRecord#112,0.0253786
org.apache.commons.csv.CSVRecord#108,0.0253786
org.apache.commons.csv.CSVFormat#870,0.0252817
org.apache.commons.csv.CSVPrinter#70,0.0252644
org.apache.commons.csv.CSVParser#386,0.0252622
org.apache.commons.csv.CSVRecord#218,0.0249893
org.apache.commons.csv.CSVParser#397,0.0246609
org.apache.commons.csv.CSVParser#398,0.024324
org.apache.commons.csv.CSVRecord#193,0.0242454
org.apache.commons.csv.CSVPrinter#248,0.0242417
org.apache.commons.csv.CSVFormat#1239,0.0241722
org.apache.commons.csv.Lexer#280,0.0239242
org.apache.commons.csv.Lexer#266,0.0239242
org.apache.commons.csv.Lexer#153,0.0239242
org.apache.commons.csv.Lexer#104,0.0239242
org.apache.commons.csv.CSVParser#206,0.0237388
org.apache.commons.csv.CSVPrinter#351,0.0234563
org.apache.commons.csv.Lexer#98,0.0232214
org.apache.commons.csv.CSVRecord#219,0.023209
org.apache.commons.csv.CSVRecord#192,0.023209
org.apache.commons.csv.CSVPrinter#283,0.0232078
org.apache.commons.csv.CSVPrinter#200,0.023104
org.apache.commons.csv.CSVRecord#103,0.023044
org.apache.commons.csv.Lexer#97,0.022952
org.apache.commons.csv.Lexer#66,0.022635
org.apache.commons.csv.CSVParser#458,0.0222995
org.apache.commons.csv.CSVParser#433,0.022147
org.apache.commons.csv.CSVParser#432,0.0220733
org.apache.commons.csv.CSVFormat#489,0.0219756
org.apache.commons.csv.CSVPrinter#158,0.0215314
org.apache.commons.csv.CSVPrinter#66,0.0212472
org.apache.commons.csv.CSVParser#282,0.0212472
org.apache.commons.csv.CSVFormat#185,0.0212472
org.apache.commons.csv.Lexer#150,0.0212158
org.apache.commons.csv.CSVRecord#98,0.0211203
org.apache.commons.csv.CSVPrinter#352,0.0210517
org.apache.commons.csv.CSVRecord#51,0.0209405
org.apache.commons.csv.CSVRecord#264,0.0209405
org.apache.commons.csv.CSVRecord#81,0.0209405
org.apache.commons.csv.CSVFormat#779,0.0205348
org.apache.commons.csv.CSVParser#491,0.0204829
org.apache.commons.csv.CSVRecord#220,0.0204156
org.apache.commons.csv.CSVRecord#269,0.0204156
org.apache.commons.csv.CSVRecord#268,0.0204156
org.apache.commons.csv.CSVRecord#80,0.0204156
org.apache.commons.csv.CSVPrinter#494,0.0204156
org.apache.commons.csv.CSVPrinter#492,0.0204156
org.apache.commons.csv.CSVPrinter#443,0.0204156
org.apache.commons.csv.CSVPrinter#441,0.0204156
org.apache.commons.csv.CSVPrinter#394,0.0204156
org.apache.commons.csv.CSVPrinter#374,0.0204156
org.apache.commons.csv.CSVParser#407,0.0204156
org.apache.commons.csv.CSVFormat#681,0.020344
org.apache.commons.csv.CSVFormat#468,0.0200912
org.apache.commons.csv.CSVParser#359,0.020032
org.apache.commons.csv.Lexer#254,0.0199745
org.apache.commons.csv.CSVRecord#243,0.0199163
org.apache.commons.csv.CSVRecord#232,0.0199163
org.apache.commons.csv.CSVRecord#231,0.0199163
org.apache.commons.csv.CSVPrinter#267,0.0199163
org.apache.commons.csv.CSVParser#387,0.0199163
org.apache.commons.csv.CSVFormat#429,0.0196314
org.apache.commons.csv.Lexer#146,0.0195291
org.apache.commons.csv.CSVRecord#242,0.0194409
org.apache.commons.csv.CSVPrinter#496,0.0194409
org.apache.commons.csv.CSVPrinter#495,0.0194409
org.apache.commons.csv.CSVPrinter#445,0.0194409
org.apache.commons.csv.CSVPrinter#444,0.0194409
org.apache.commons.csv.CSVParser#506,0.0194409
org.apache.commons.csv.CSVParser#507,0.0194409
org.apache.commons.csv.CSVParser#503,0.0194409
org.apache.commons.csv.CSVParser#500,0.0194409
org.apache.commons.csv.CSVRecord#104,0.0193639
org.apache.commons.csv.CSVParser#528,0.0193348
org.apache.commons.csv.CSVFormat#781,0.0193348
org.apache.commons.csv.CSVFormat#493,0.0193348
org.apache.commons.csv.CSVFormat#833,0.0192485
org.apache.commons.csv.CSVPrinter#296,0.0189877
org.apache.commons.csv.CSVPrinter#287,0.0189877
org.apache.commons.csv.CSVPrinter#272,0.0189877
org.apache.commons.csv.CSVPrinter#262,0.0189877
