Statement,Suspiciousness
com.google.gson.stream.JsonReader#672,0.164486
com.google.gson.stream.JsonReader#670,0.153214
com.google.gson.stream.JsonReader#218,0.1518
com.google.gson.stream.JsonReader#711,0.148437
com.google.gson.stream.JsonReader#674,0.148437
com.google.gson.stream.JsonReader#223,0.148437
com.google.gson.stream.JsonReader#655,0.148238
com.google.gson.stream.JsonReader#654,0.147277
com.google.gson.stream.JsonReader#724,0.145347
com.google.gson.stream.JsonReader#684,0.145219
com.google.gson.stream.JsonReader#677,0.145219
com.google.gson.stream.JsonReader#683,0.142789
com.google.gson.stream.JsonReader#676,0.142789
com.google.gson.internal.bind.TreeTypeAdapter#134,0.135661
com.google.gson.stream.JsonReader#641,0.133532
com.google.gson.stream.JsonReader#722,0.128989
com.google.gson.internal.bind.TreeTypeAdapter#127,0.127984
com.google.gson.internal.bind.TreeTypeAdapter#147,0.125984
com.google.gson.internal.bind.TreeTypeAdapter#146,0.122462
com.google.gson.GsonBuilder#518,0.12048
com.google.gson.internal.bind.TreeTypeAdapter#53,0.120148
com.google.gson.internal.bind.TypeAdapters#897,0.117804
com.google.gson.JsonPrimitive#100,0.117219
com.google.gson.internal.bind.TypeAdapters#896,0.114785
com.google.gson.GsonBuilder#472,0.111431
com.google.gson.JsonPrimitive#99,0.110723
com.google.gson.internal.bind.TreeTypeAdapter#131,0.103748
com.google.gson.stream.JsonReader#1359,0.100774
com.google.gson.internal.bind.TreeTypeAdapter#148,0.10052
com.google.gson.internal.bind.TreeTypeAdapter#52,0.10052
com.google.gson.stream.JsonReader#714,0.100233
com.google.gson.internal.bind.TypeAdapters#899,0.0993315
com.google.gson.internal.bind.TreeTypeAdapter#142,0.0989478
com.google.gson.internal.bind.TypeAdapters#901,0.0965855
com.google.gson.internal.bind.TypeAdapters#911,0.0950864
com.google.gson.stream.JsonReader#1322,0.0950753
com.google.gson.JsonPrimitive#93,0.094637
com.google.gson.JsonPrimitive#94,0.094637
com.google.gson.stream.JsonReader#1358,0.09422
com.google.gson.internal.bind.TreeTypeAdapter#61,0.0915363
com.google.gson.internal.bind.TreeTypeAdapter#55,0.0913133
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#188,0.0913133
com.google.gson.GsonBuilder#517,0.0911127
com.google.gson.stream.JsonReader#1310,0.0896867
com.google.gson.internal.bind.TypeAdapters#909,0.088675
com.google.gson.stream.JsonReader#1341,0.0873795
com.google.gson.DefaultDateTypeAdapter#59,0.0860682
com.google.gson.internal.bind.DateTypeAdapter#59,0.0860682
com.google.gson.internal.bind.TreeTypeAdapter#69,0.0850865
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#142,0.0846649
com.google.gson.stream.JsonReader#1354,0.0845803
com.google.gson.reflect.TypeToken#72,0.0842758
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#185,0.0839417
com.google.gson.stream.JsonReader#1026,0.0833454
com.google.gson.internal.bind.TypeAdapters#105,0.0831051
com.google.gson.DefaultDateTypeAdapter#79,0.0823715
com.google.gson.DefaultDateTypeAdapter#91,0.0817954
com.google.gson.internal.bind.TypeAdapters#900,0.0806373
com.google.gson.reflect.TypeToken#71,0.080528
com.google.gson.reflect.TypeToken#131,0.0801443
com.google.gson.DefaultDateTypeAdapter#83,0.0798948
com.google.gson.internal.bind.TypeAdapters#366,0.0795292
com.google.gson.internal.bind.TypeAdapters#912,0.0792803
com.google.gson.DefaultDateTypeAdapter#54,0.0792638
com.google.gson.internal.bind.DateTypeAdapter#54,0.0792638
com.google.gson.internal.bind.TypeAdapters#103,0.0790685
com.google.gson.internal.bind.TypeAdapters#362,0.0783806
com.google.gson.JsonDeserializer#89,0.0781244
com.google.gson.internal.bind.TreeTypeAdapter#132,0.0781244
com.google.gson.DefaultDateTypeAdapter#78,0.0781244
com.google.gson.internal.bind.TypeAdapters#364,0.0778197
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#151,0.0774058
com.google.gson.FieldAttributes#45,0.076861
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#149,0.0768086
com.google.gson.GsonBuilder#521,0.0764308
com.google.gson.GsonBuilder#519,0.0764308
com.google.gson.GsonBuilder#479,0.0764308
com.google.gson.GsonBuilder#473,0.0764308
com.google.gson.internal.bind.TypeAdapters#716,0.076359
com.google.gson.internal.bind.TypeAdapters#715,0.076359
com.google.gson.reflect.TypeToken#122,0.0756536
com.google.gson.internal.bind.TypeAdapters#904,0.0754176
com.google.gson.internal.bind.TypeAdapters#86,0.0752687
com.google.gson.GsonBuilder#471,0.0746825
com.google.gson.internal.bind.TreeTypeAdapter#124,0.0740435
com.google.gson.internal.bind.TreeTypeAdapter#43,0.0740435
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#183,0.0740435
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#154,0.0740435
com.google.gson.DefaultDateTypeAdapter#90,0.0737965
com.google.gson.FieldAttributes#44,0.0736671
com.google.gson.internal.bind.util.ISO8601Utils#158,0.0735987
com.google.gson.stream.JsonReader#1031,0.0733716
com.google.gson.reflect.TypeToken#133,0.0726176
com.google.gson.internal.bind.TreeTypeAdapter#62,0.0723267
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#217,0.0723267
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#105,0.0723267
com.google.gson.stream.JsonReader#1458,0.0718214
com.google.gson.JsonObject#34,0.0716716
com.google.gson.reflect.TypeToken#136,0.0711868
com.google.gson.internal.bind.TypeAdapters#93,0.071154
com.google.gson.JsonPrimitive#260,0.0709122
com.google.gson.internal.bind.JsonTreeReader#129,0.0708391
com.google.gson.internal.ConstructorConstructor#197,0.0707737
com.google.gson.stream.JsonReader#1030,0.0706758
com.google.gson.JsonObject#33,0.0702127
com.google.gson.JsonPrimitive#259,0.0698922
com.google.gson.internal.bind.TypeAdapters#85,0.0697065
com.google.gson.internal.$Gson$Types#269,0.0695817
com.google.gson.internal.bind.ObjectTypeAdapter#54,0.069347
com.google.gson.internal.bind.util.ISO8601Utils#173,0.069086
com.google.gson.internal.ConstructorConstructor#191,0.0687078
com.google.gson.internal.bind.TypeAdapters#84,0.0684421
com.google.gson.stream.JsonReader#985,0.0681512
com.google.gson.internal.bind.ObjectTypeAdapter#56,0.0677576
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory#153,0.0676229
com.google.gson.internal.bind.TypeAdapters#714,0.0675909
com.google.gson.internal.bind.TypeAdapters#114,0.0675612
com.google.gson.internal.bind.util.ISO8601Utils#171,0.0672143
com.google.gson.internal.bind.JsonTreeReader#127,0.0671103
com.google.gson.internal.bind.JsonTreeReader#239,0.0669935
com.google.gson.internal.bind.JsonTreeReader#225,0.0669935
com.google.gson.internal.bind.JsonTreeReader#208,0.0669935
com.google.gson.stream.JsonReader#461,0.066125
com.google.gson.internal.bind.TypeAdapters#382,0.065896
com.google.gson.internal.ConstructorConstructor#185,0.0653998
com.google.gson.internal.bind.TypeAdapters#81,0.0651725
com.google.gson.internal.bind.TypeAdapters#80,0.0651725
com.google.gson.internal.bind.ObjectTypeAdapter#67,0.0648687
com.google.gson.internal.bind.JsonTreeReader#131,0.064845
com.google.gson.internal.ConstructorConstructor#207,0.0645713
com.google.gson.stream.JsonReader#989,0.0642763
com.google.gson.JsonPrimitive#157,0.0641433
