Statement,Suspiciousness
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#495,0.207631
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#481,0.197521
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#498,0.191997
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#54,0.183312
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#436,0.179104
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#665,0.176366
com.fasterxml.jackson.databind.deser.BeanDeserializer#757,0.175513
com.fasterxml.jackson.databind.deser.BeanDeserializer#755,0.174499
com.fasterxml.jackson.databind.deser.BeanDeserializer#738,0.172825
com.fasterxml.jackson.databind.deser.BeanDeserializer#758,0.170528
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector#51,0.168094
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer#522,0.167125
com.fasterxml.jackson.databind.deser.BeanDeserializer#612,0.163373
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#669,0.162918
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer#216,0.161015
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector#50,0.160032
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer#526,0.158599
com.fasterxml.jackson.databind.deser.BeanDeserializer#616,0.158599
com.fasterxml.jackson.databind.deser.BeanDeserializer#750,0.158133
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#479,0.154805
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer#648,0.154464
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#926,0.154438
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#678,0.154438
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#677,0.154438
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#536,0.154438
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#500,0.152712
com.fasterxml.jackson.databind.deser.BeanDeserializer#219,0.15217
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayBuilderDeserializer#202,0.15208
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector#433,0.151651
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#925,0.151622
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#535,0.151622
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#882,0.151581
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer#573,0.151502
com.fasterxml.jackson.databind.deser.BeanDeserializer#835,0.151502
com.fasterxml.jackson.databind.deser.BeanDeserializer#785,0.151502
com.fasterxml.jackson.databind.deser.BeanDeserializer#731,0.151502
com.fasterxml.jackson.databind.deser.BeanDeserializer#673,0.151502
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer#278,0.150697
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#424,0.150312
com.fasterxml.jackson.databind.deser.BuilderBasedDeserializer#580,0.150056
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#837,0.149704
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#518,0.149682
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter#47,0.149275
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer#94,0.148994
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#266,0.148421
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#258,0.147499
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#389,0.147499
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#356,0.147499
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#319,0.147499
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer#145,0.147332
com.fasterxml.jackson.databind.deser.BeanDeserializer#681,0.146917
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#835,0.146813
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanSerializer#127,0.146747
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#830,0.146705
com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter#159,0.146
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#908,0.145856
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#283,0.145674
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector#38,0.145311
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#582,0.145012
com.fasterxml.jackson.databind.deser.impl.BeanAsArrayBuilderDeserializer#262,0.144109
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#828,0.143556
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#501,0.14296
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#458,0.14296
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#240,0.141501
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#497,0.140909
