Statement,Suspiciousness
org.jsoup.nodes.Document#336,0.354869
org.jsoup.nodes.Document#333,0.351257
org.jsoup.nodes.Document#318,0.325984
org.jsoup.helper.DataUtil#95,0.322683
org.jsoup.helper.DataUtil#131,0.321741
org.jsoup.nodes.Document#315,0.319149
org.jsoup.nodes.Document#314,0.318776
org.jsoup.nodes.Document#354,0.303245
org.jsoup.nodes.Comment#74,0.303162
org.jsoup.nodes.Document#339,0.300971
org.jsoup.helper.HttpConnection#834,0.295553
org.jsoup.helper.DataUtil#114,0.292851
org.jsoup.parser.XmlTreeBuilder#92,0.283725
org.jsoup.helper.HttpConnection#775,0.283628
org.jsoup.nodes.Document#347,0.279695
org.jsoup.parser.XmlTreeBuilder#89,0.275415
org.jsoup.nodes.Comment#76,0.257758
org.jsoup.helper.HttpConnection#388,0.256125
org.jsoup.helper.HttpConnection#387,0.256125
org.jsoup.helper.HttpConnection#836,0.25407
org.jsoup.parser.XmlTreeBuilder#95,0.244565
org.jsoup.helper.HttpConnection#735,0.244471
org.jsoup.helper.HttpConnection#850,0.238103
org.jsoup.helper.W3CDom#84,0.227197
org.jsoup.parser.XmlTreeBuilder#30,0.226773
org.jsoup.helper.DataUtil#136,0.226163
org.jsoup.helper.DataUtil#137,0.226163
org.jsoup.helper.W3CDom#82,0.222811
org.jsoup.helper.HttpConnection#837,0.221907
org.jsoup.helper.HttpConnection#787,0.221891
org.jsoup.helper.HttpConnection#549,0.220339
org.jsoup.helper.HttpConnection#770,0.218395
org.jsoup.helper.W3CDom#102,0.217743
org.jsoup.helper.HttpConnection#848,0.216856
org.jsoup.helper.HttpConnection#715,0.21685
org.jsoup.helper.W3CDom#98,0.214812
org.jsoup.nodes.Document#355,0.213944
org.jsoup.helper.HttpConnection#389,0.213373
org.jsoup.helper.DataUtil#53,0.210579
org.jsoup.helper.DataUtil#52,0.208334
org.jsoup.helper.HttpConnection#779,0.206504
org.jsoup.nodes.Document#337,0.203613
org.jsoup.nodes.Entities#203,0.203226
org.jsoup.select.Evaluator#626,0.201285
org.jsoup.helper.DataUtil#134,0.19851
org.jsoup.parser.HtmlTreeBuilder#30,0.198493
org.jsoup.parser.TreeBuilder#30,0.198493
org.jsoup.helper.HttpConnection#781,0.196925
org.jsoup.nodes.Comment#78,0.196577
org.jsoup.helper.HttpConnection#64,0.19652
org.jsoup.nodes.Entities#200,0.195659
org.jsoup.parser.Parser#152,0.195243
org.jsoup.select.QueryParser#152,0.195243
org.jsoup.nodes.Comment#80,0.194196
org.jsoup.select.Evaluator#625,0.193731
org.jsoup.nodes.Document#42,0.193327
org.jsoup.helper.DataUtil#65,0.193075
org.jsoup.helper.HttpConnection#852,0.192226
org.jsoup.helper.HttpConnection#790,0.191145
org.jsoup.nodes.Document#348,0.191062
org.jsoup.helper.DataUtil#64,0.190519
org.jsoup.helper.DataUtil#152,0.186818
org.jsoup.helper.W3CDom#103,0.185472
org.jsoup.helper.DataUtil#105,0.185274
org.jsoup.parser.XmlTreeBuilder#142,0.177808
org.jsoup.internal.ConstrainableInputStream#76,0.177411
org.jsoup.select.Evaluator#623,0.174997
org.jsoup.nodes.Entities#215,0.174881
org.jsoup.nodes.Entities#208,0.174881
org.jsoup.helper.HttpConnection#841,0.173511
org.jsoup.helper.DataUtil#159,0.170017
org.jsoup.helper.DataUtil#158,0.170017
org.jsoup.helper.HttpConnection#782,0.168907
org.jsoup.Jsoup#45,0.167783
org.jsoup.helper.DataUtil#190,0.167086
org.jsoup.nodes.Comment#77,0.166861
org.jsoup.helper.DataUtil#133,0.166861
org.jsoup.helper.HttpConnection#792,0.166818
org.jsoup.examples.HtmlToPlainText#34,0.166464
org.jsoup.nodes.Node#584,0.165567
org.jsoup.nodes.TextNode#584,0.165567
org.jsoup.nodes.DataNode#584,0.165567
org.jsoup.nodes.LeafNode#584,0.165567
org.jsoup.Jsoup#44,0.165335
org.jsoup.parser.Parser#154,0.165166
org.jsoup.select.QueryParser#154,0.165166
org.jsoup.nodes.Element#548,0.165119
