Statement,Suspiciousness
org.apache.commons.jxpath.ri.compiler.CoreFunction#346,0.518321
org.apache.commons.jxpath.ri.compiler.CoreFunction#338,0.480713
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#641,0.467543
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#641,0.467543
org.apache.commons.jxpath.ri.compiler.CoreFunction#352,0.423074
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#139,0.41351
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#139,0.41351
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#394,0.41351
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#635,0.408726
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#635,0.408726
org.apache.commons.jxpath.XMLDocumentContainer#49,0.407449
org.apache.commons.jxpath.xml.DocumentContainer#49,0.407449
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#238,0.392239
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#660,0.390872
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#660,0.390872
org.apache.commons.jxpath.XMLDocumentContainer#53,0.386555
org.apache.commons.jxpath.xml.DocumentContainer#53,0.386555
org.apache.commons.jxpath.XMLDocumentContainer#51,0.386555
org.apache.commons.jxpath.xml.DocumentContainer#51,0.386555
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#144,0.365548
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#144,0.365548
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#143,0.365548
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#143,0.365548
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#399,0.365548
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#398,0.365548
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#647,0.355578
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#647,0.355578
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#643,0.355578
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#643,0.355578
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#639,0.355578
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#639,0.355578
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#258,0.355578
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#245,0.355578
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#257,0.346137
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#244,0.346137
org.apache.commons.jxpath.XMLDocumentContainer#52,0.345135
org.apache.commons.jxpath.xml.DocumentContainer#52,0.345135
org.apache.commons.jxpath.XMLDocumentContainer#50,0.345135
org.apache.commons.jxpath.xml.DocumentContainer#50,0.345135
org.apache.commons.jxpath.ri.model.container.ContainerPointer#89,0.334741
org.apache.commons.jxpath.ri.model.container.ContainerPointer#87,0.334741
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#425,0.331915
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#424,0.331915
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#253,0.328683
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#250,0.328683
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#240,0.328683
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#429,0.323695
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl#428,0.323695
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer#637,0.322392
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer#637,0.322392
