Statement,Suspiciousness
org.apache.commons.lang3.builder.ToStringStyle#137,0.614542
org.apache.commons.lang3.builder.StandardToStringStyle#137,0.614542
org.apache.commons.lang3.ClassUtils#805,0.519734
org.apache.commons.lang3.builder.HashCodeBuilder#104,0.506878
org.apache.commons.lang3.ClassUtils#804,0.454999
org.apache.commons.lang3.concurrent.BackgroundInitializer#215,0.423663
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#215,0.423663
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#215,0.423663
org.apache.commons.lang3.concurrent.TimedSemaphore#212,0.415957
org.apache.commons.lang3.concurrent.BackgroundInitializer#213,0.378363
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#213,0.378363
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#213,0.378363
org.apache.commons.lang3.concurrent.TimedSemaphore#136,0.324994
org.apache.commons.lang3.concurrent.TimedSemaphore#211,0.319866
org.apache.commons.lang3.concurrent.BackgroundInitializer#207,0.31392
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#207,0.31392
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#207,0.31392
org.apache.commons.lang3.concurrent.BackgroundInitializer#208,0.31392
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#208,0.31392
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#208,0.31392
org.apache.commons.lang3.LocaleUtils#263,0.297266
org.apache.commons.lang3.concurrent.TimedSemaphore#208,0.293349
org.apache.commons.lang3.LocaleUtils#265,0.284906
org.apache.commons.lang3.concurrent.BackgroundInitializer#298,0.28185
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#298,0.28185
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#298,0.28185
org.apache.commons.lang3.concurrent.BackgroundInitializer#297,0.27456
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#297,0.27456
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#297,0.27456
org.apache.commons.lang3.LocaleUtils#266,0.260881
org.apache.commons.lang3.LocaleUtils#276,0.251114
org.apache.commons.lang3.concurrent.TimedSemaphore#200,0.247714
org.apache.commons.lang3.LocaleUtils#280,0.227908
org.apache.commons.lang3.LocaleUtils#264,0.227908
org.apache.commons.lang3.SystemUtils#495,0.214239
org.apache.commons.lang3.LocaleUtils#282,0.206645
org.apache.commons.lang3.LocaleUtils#273,0.200318
org.apache.commons.lang3.LocaleUtils#272,0.200318
org.apache.commons.lang3.LocaleUtils#278,0.194368
org.apache.commons.lang3.LocaleUtils#277,0.194368
org.apache.commons.lang3.builder.ToStringStyle#203,0.191514
org.apache.commons.lang3.builder.StandardToStringStyle#203,0.191514
org.apache.commons.lang3.builder.HashCodeBuilder#173,0.191027
org.apache.commons.lang3.LocaleUtils#271,0.190515
org.apache.commons.lang3.LocaleUtils#267,0.188761
org.apache.commons.lang3.builder.HashCodeBuilder#361,0.187269
org.apache.commons.lang3.builder.ToStringStyle#202,0.184782
org.apache.commons.lang3.builder.StandardToStringStyle#202,0.184782
org.apache.commons.lang3.builder.HashCodeBuilder#356,0.181196
org.apache.commons.lang3.StringUtils#648,0.178763
org.apache.commons.lang3.RandomStringUtils#648,0.178763
org.apache.commons.lang3.StringUtils#666,0.178464
org.apache.commons.lang3.RandomStringUtils#666,0.178464
org.apache.commons.lang3.exception.ExceptionUtils#543,0.175425
org.apache.commons.lang3.math.NumberUtils#557,0.17479
org.apache.commons.lang3.LocaleUtils#269,0.174184
org.apache.commons.lang3.builder.ToStringStyle#205,0.173092
org.apache.commons.lang3.builder.StandardToStringStyle#205,0.173092
org.apache.commons.lang3.builder.HashCodeBuilder#368,0.172724
org.apache.commons.lang3.exception.ExceptionUtils#577,0.171663
org.apache.commons.lang3.exception.ExceptionUtils#576,0.171663
org.apache.commons.lang3.StringUtils#645,0.170325
org.apache.commons.lang3.RandomStringUtils#645,0.170325
org.apache.commons.lang3.ClassUtils#806,0.168043
org.apache.commons.lang3.math.NumberUtils#505,0.168022
org.apache.commons.lang3.ClassUtils#775,0.165369
org.apache.commons.lang3.ClassUtils#753,0.165369
org.apache.commons.lang3.concurrent.BackgroundInitializer#180,0.1648
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#180,0.1648
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#180,0.1648
org.apache.commons.lang3.math.NumberUtils#583,0.159755
org.apache.commons.lang3.math.NumberUtils#575,0.159755
org.apache.commons.lang3.math.NumberUtils#565,0.159755
org.apache.commons.lang3.math.NumberUtils#560,0.159755
org.apache.commons.lang3.math.NumberUtils#507,0.159755
org.apache.commons.lang3.math.NumberUtils#463,0.159755
org.apache.commons.lang3.builder.HashCodeBuilder#591,0.158194
org.apache.commons.lang3.concurrent.BackgroundInitializer#185,0.155009
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#185,0.155009
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#185,0.155009
org.apache.commons.lang3.math.NumberUtils#591,0.155009
org.apache.commons.lang3.math.NumberUtils#564,0.155009
org.apache.commons.lang3.math.NumberUtils#569,0.155009
org.apache.commons.lang3.math.NumberUtils#559,0.155009
org.apache.commons.lang3.math.NumberUtils#540,0.155009
org.apache.commons.lang3.math.NumberUtils#506,0.155009
org.apache.commons.lang3.math.NumberUtils#511,0.155009
org.apache.commons.lang3.math.NumberUtils#462,0.155009
org.apache.commons.lang3.builder.HashCodeBuilder#588,0.15388
org.apache.commons.lang3.builder.HashCodeBuilder#585,0.15388
org.apache.commons.lang3.ClassUtils#755,0.152935
org.apache.commons.lang3.builder.HashCodeBuilder#474,0.151275
org.apache.commons.lang3.concurrent.BackgroundInitializer#179,0.150537
org.apache.commons.lang3.concurrent.MultiBackgroundInitializer#179,0.150537
org.apache.commons.lang3.concurrent.CallableBackgroundInitializer#179,0.150537
org.apache.commons.lang3.math.NumberUtils#539,0.150537
org.apache.commons.lang3.math.NumberUtils#532,0.150537
org.apache.commons.lang3.math.NumberUtils#518,0.150537
org.apache.commons.lang3.math.NumberUtils#549,0.149869
org.apache.commons.lang3.builder.HashCodeBuilder#582,0.149794
org.apache.commons.lang3.exception.ExceptionUtils#571,0.148292
org.apache.commons.lang3.builder.HashCodeBuilder#473,0.147837
