Statement,Suspiciousness
org.apache.commons.math.distribution.PoissonDistributionImpl#88,0.278233
org.apache.commons.math.random.UncorrelatedRandomVectorGenerator#74,0.251112
org.apache.commons.math.random.ValueServer#99,0.250466
org.apache.commons.math.random.ValueServer#100,0.250466
org.apache.commons.math.random.UncorrelatedRandomVectorGenerator#73,0.243632
org.apache.commons.math.random.AbstractRandomGenerator#233,0.234469
org.apache.commons.math.random.AbstractRandomGenerator#232,0.2172
org.apache.commons.math.random.UncorrelatedRandomVectorGenerator#43,0.212169
org.apache.commons.math.random.UncorrelatedRandomVectorGenerator#70,0.208844
org.apache.commons.math.random.ValueServer#106,0.20746
org.apache.commons.math.random.ValueServer#105,0.20746
org.apache.commons.math.random.ValueServer#104,0.20746
org.apache.commons.math.random.ValueServer#103,0.20746
org.apache.commons.math.random.ValueServer#102,0.20746
org.apache.commons.math.random.ValueServer#101,0.20746
org.apache.commons.math.stat.StatUtils#230,0.206468
org.apache.commons.math.distribution.NormalDistributionImpl#191,0.200332
org.apache.commons.math.stat.StatUtils#393,0.199486
org.apache.commons.math.stat.StatUtils#269,0.199486
org.apache.commons.math.stat.StatUtils#229,0.199486
org.apache.commons.math.stat.descriptive.moment.StandardDeviation#214,0.199486
org.apache.commons.math.distribution.PoissonDistributionImpl#94,0.194895
org.apache.commons.math.random.AbstractRandomGenerator#249,0.193275
org.apache.commons.math.stat.StatUtils#392,0.192961
org.apache.commons.math.stat.StatUtils#268,0.192961
org.apache.commons.math.stat.StatUtils#252,0.192961
org.apache.commons.math.stat.descriptive.moment.Skewness#145,0.192961
org.apache.commons.math.stat.descriptive.rank.Percentile#235,0.192766
org.apache.commons.math.stat.descriptive.rank.Percentile#187,0.192766
org.apache.commons.math.distribution.NormalDistributionImpl#49,0.191754
org.apache.commons.math.distribution.NormalDistributionImpl#188,0.188724
org.apache.commons.math.stat.descriptive.rank.Percentile#234,0.187347
org.apache.commons.math.stat.StatUtils#367,0.186849
org.apache.commons.math.stat.StatUtils#291,0.186849
org.apache.commons.math.stat.StatUtils#251,0.186849
org.apache.commons.math.stat.descriptive.moment.StandardDeviation#189,0.186849
org.apache.commons.math.random.AbstractRandomGenerator#59,0.186739
