Statement,Suspiciousness
org.mockito.exceptions.Reporter#72,0.218617
org.mockito.exceptions.Reporter#61,0.147677
org.mockito.exceptions.Reporter#60,0.141035
org.mockito.exceptions.Reporter#437,0.1322
org.mockito.exceptions.Reporter#436,0.131414
org.mockito.ArgumentCaptor#85,0.128162
org.mockito.ArgumentCaptor#84,0.111722
org.mockito.internal.runners.RunnerFactory#26,0.107802
org.mockito.internal.runners.RunnerFactory#25,0.107802
org.mockito.internal.matchers.LocalizedMatcher#59,0.101476
org.mockito.internal.matchers.LocalizedMatcher#58,0.101476
org.mockito.internal.configuration.InjectingAnnotationEngine#47,0.100442
org.mockito.internal.invocation.InvocationMatcher#107,0.100281
org.mockito.internal.invocation.InvocationMatcher#106,0.100281
org.mockito.internal.invocation.InvocationMatcher#104,0.098753
org.mockito.MockitoAnnotations#89,0.0951243
org.mockito.internal.matchers.LocalizedMatcher#60,0.0946022
org.mockito.internal.invocation.InvocationMatcher#108,0.0941196
org.mockito.internal.creation.jmock.ClassImposterizer#65,0.093878
org.mockito.internal.runners.RunnerFactory#34,0.0938006
org.mockito.internal.configuration.DefaultAnnotationEngine#71,0.0937277
org.mockito.internal.runners.RunnerFactory#33,0.0936635
org.mockito.internal.configuration.InjectingAnnotationEngine#46,0.0930417
org.mockito.MockitoAnnotations#90,0.0925554
org.mockito.internal.runners.RunnerFactory#32,0.0925149
org.mockito.internal.configuration.DefaultAnnotationEngine#72,0.0922454
org.mockito.internal.creation.jmock.ClassImposterizer#64,0.0903064
org.mockito.internal.invocation.CapturesArgumensFromInvocation#52,0.0897435
org.mockito.internal.invocation.Invocation#52,0.0897435
org.mockito.internal.creation.jmock.ClassImposterizer#63,0.089301
org.mockito.exceptions.Reporter#520,0.087982
org.mockito.internal.configuration.InjectingAnnotationEngine#48,0.0875719
org.mockito.exceptions.Reporter#519,0.0872491
org.mockito.ArgumentCaptor#47,0.0867447
org.mockito.internal.runners.JUnit44RunnerImpl#24,0.0866284
org.mockito.exceptions.Reporter#509,0.0865274
org.mockito.internal.creation.jmock.ClassImposterizer#94,0.0863493
org.mockito.MockitoAnnotations#88,0.0861487
org.mockito.exceptions.Reporter#508,0.0859104
org.mockito.internal.util.junit.JUnitFailureHacker#13,0.0848922
org.mockito.internal.runners.JUnit44RunnerImpl#26,0.0846007
org.mockito.internal.configuration.InjectingAnnotationEngine#38,0.0840359
org.mockito.Mockito#674,0.0838303
org.mockito.BDDMockito#674,0.0838303
org.mockito.exceptions.Reporter#443,0.0834185
org.mockito.internal.configuration.DefaultAnnotationEngine#69,0.0829516
org.mockito.internal.creation.jmock.ClassImposterizer#92,0.0827569
org.mockito.internal.MockHandler#96,0.0827341
org.mockito.Mockito#1680,0.0825063
org.mockito.BDDMockito#1680,0.0825063
org.mockito.Mockito#1679,0.0825063
org.mockito.BDDMockito#1679,0.0825063
org.mockito.BDDMockito#172,0.0825063
org.mockito.BDDMockito#171,0.0825063
org.mockito.internal.creation.jmock.ClassImposterizer#96,0.0822517
org.mockito.internal.matchers.CapturingMatcher#32,0.0818943
org.mockito.internal.matchers.CapturingMatcher#31,0.0818943
org.mockito.internal.invocation.InvocationMarker#21,0.0816511
org.mockito.internal.creation.jmock.ClassImposterizer#95,0.0815075
org.mockito.internal.configuration.DefaultAnnotationEngine#65,0.0813854
org.mockito.internal.creation.jmock.ClassImposterizer#101,0.0808124
org.mockito.internal.configuration.GlobalConfiguration#37,0.0804781
org.mockito.internal.runners.JUnit44RunnerImpl#22,0.0804625
org.mockito.internal.invocation.InvocationMarker#19,0.0796114
org.mockito.internal.runners.RunnerFactory#27,0.0795871
org.mockito.internal.util.junit.JUnitFailureHacker#20,0.0795817
org.mockito.internal.configuration.GlobalConfiguration#36,0.07774
org.mockito.internal.MockHandler#95,0.07772
org.mockito.internal.util.junit.JUnitFailureHacker#23,0.0768338
org.mockito.internal.runners.JUnit44RunnerImpl#21,0.0750946
org.mockito.internal.configuration.DefaultAnnotationEngine#74,0.0747275
org.mockito.exceptions.Reporter#438,0.0743854
org.mockito.internal.configuration.DefaultAnnotationEngine#38,0.074318
org.mockito.internal.configuration.DefaultAnnotationEngine#34,0.0741851
org.mockito.internal.runners.RunnerFactory#43,0.0737993
org.mockito.internal.runners.RunnerFactory#42,0.0733712
