Statement,Suspiciousness
org.joda.time.DateTimeZone#603,0.324104
org.joda.time.tz.FixedDateTimeZone#603,0.324104
org.joda.time.tz.CachedDateTimeZone#603,0.324104
org.joda.time.tz.ZoneInfoCompiler#139,0.317505
org.joda.time.DateTimeZone#446,0.316089
org.joda.time.tz.FixedDateTimeZone#446,0.316089
org.joda.time.tz.CachedDateTimeZone#446,0.316089
org.joda.time.DateTimeZone#531,0.310276
org.joda.time.tz.FixedDateTimeZone#531,0.310276
org.joda.time.tz.CachedDateTimeZone#531,0.310276
org.joda.time.DateTimeZone#600,0.30521
org.joda.time.tz.FixedDateTimeZone#600,0.30521
org.joda.time.tz.CachedDateTimeZone#600,0.30521
org.joda.time.DateTimeZone#447,0.304094
org.joda.time.tz.FixedDateTimeZone#447,0.304094
org.joda.time.tz.CachedDateTimeZone#447,0.304094
org.joda.time.tz.ZoneInfoCompiler#140,0.297857
org.joda.time.DateTimeZone#567,0.297291
org.joda.time.tz.FixedDateTimeZone#567,0.297291
org.joda.time.tz.CachedDateTimeZone#567,0.297291
org.joda.time.tz.CachedDateTimeZone#39,0.262639
org.joda.time.tz.DateTimeZoneBuilder#1443,0.257933
org.joda.time.tz.CachedDateTimeZone#38,0.247561
org.joda.time.tz.ZoneInfoCompiler#387,0.246356
org.joda.time.DateTimeZone#173,0.238542
org.joda.time.tz.FixedDateTimeZone#173,0.238542
org.joda.time.tz.CachedDateTimeZone#173,0.238542
org.joda.time.tz.ZoneInfoCompiler#366,0.235996
org.joda.time.tz.ZoneInfoCompiler#332,0.23442
org.joda.time.tz.DateTimeZoneBuilder#1441,0.232746
org.joda.time.DateTimeZone#348,0.231719
org.joda.time.tz.FixedDateTimeZone#348,0.231719
org.joda.time.tz.CachedDateTimeZone#348,0.231719
org.joda.time.tz.ZoneInfoCompiler#296,0.230625
org.joda.time.DateTimeZone#445,0.230188
org.joda.time.tz.FixedDateTimeZone#445,0.230188
org.joda.time.tz.CachedDateTimeZone#445,0.230188
org.joda.time.tz.ZoneInfoCompiler#331,0.229723
org.joda.time.tz.ZoneInfoCompiler#294,0.226677
org.joda.time.tz.DateTimeZoneBuilder#1445,0.226549
org.joda.time.tz.ZoneInfoCompiler#295,0.224108
org.joda.time.DateTimeZone#530,0.222412
org.joda.time.tz.FixedDateTimeZone#530,0.222412
org.joda.time.tz.CachedDateTimeZone#530,0.222412
org.joda.time.DateTimeZone#442,0.220406
org.joda.time.tz.FixedDateTimeZone#442,0.220406
org.joda.time.tz.CachedDateTimeZone#442,0.220406
org.joda.time.tz.DateTimeZoneBuilder#214,0.219781
org.joda.time.chrono.ZonedChronology#138,0.218849
org.joda.time.DateTimeZone#462,0.218812
org.joda.time.tz.FixedDateTimeZone#462,0.218812
org.joda.time.tz.CachedDateTimeZone#462,0.218812
org.joda.time.tz.ZoneInfoCompiler#421,0.215825
org.joda.time.DateTimeZone#203,0.215018
org.joda.time.tz.FixedDateTimeZone#203,0.215018
org.joda.time.tz.CachedDateTimeZone#203,0.215018
org.joda.time.DateTimeZone#461,0.214096
org.joda.time.tz.FixedDateTimeZone#461,0.214096
org.joda.time.tz.CachedDateTimeZone#461,0.214096
org.joda.time.tz.ZoneInfoCompiler#303,0.213974
org.joda.time.DateTimeZone#132,0.212139
org.joda.time.tz.FixedDateTimeZone#132,0.212139
org.joda.time.tz.CachedDateTimeZone#132,0.212139
org.joda.time.tz.ZoneInfoCompiler#393,0.212077
org.joda.time.YearMonth#636,0.208912
org.joda.time.tz.FixedDateTimeZone#91,0.208847
org.joda.time.tz.ZoneInfoCompiler#302,0.20849
org.joda.time.tz.ZoneInfoCompiler#395,0.208247
org.joda.time.tz.ZoneInfoCompiler#426,0.206808
org.joda.time.tz.ZoneInfoCompiler#427,0.206808
org.joda.time.tz.ZoneInfoCompiler#283,0.206757
org.joda.time.tz.DateTimeZoneBuilder#109,0.205529
org.joda.time.tz.DateTimeZoneBuilder#110,0.205529
org.joda.time.format.DateTimeFormatter#632,0.205476
org.joda.time.format.DateTimeFormatter#615,0.205476
org.joda.time.DateTimeZone#400,0.20516
org.joda.time.tz.FixedDateTimeZone#400,0.20516
org.joda.time.tz.CachedDateTimeZone#400,0.20516
org.joda.time.tz.ZoneInfoCompiler#420,0.204818
org.joda.time.DateTimeZone#135,0.203472
org.joda.time.tz.FixedDateTimeZone#135,0.203472
org.joda.time.tz.CachedDateTimeZone#135,0.203472
org.joda.time.DateTimeZone#134,0.203472
org.joda.time.tz.FixedDateTimeZone#134,0.203472
org.joda.time.tz.CachedDateTimeZone#134,0.203472
org.joda.time.tz.DateTimeZoneBuilder#1436,0.203098
org.joda.time.chrono.ZonedChronology#464,0.202682
org.joda.time.tz.ZoneInfoCompiler#425,0.202535
org.joda.time.DateTimeZone#403,0.201074
org.joda.time.tz.FixedDateTimeZone#403,0.201074
org.joda.time.tz.CachedDateTimeZone#403,0.201074
org.joda.time.DateTimeZone#176,0.201074
org.joda.time.tz.FixedDateTimeZone#176,0.201074
org.joda.time.tz.CachedDateTimeZone#176,0.201074
org.joda.time.format.DateTimeFormatter#801,0.200807
org.joda.time.tz.FixedDateTimeZone#87,0.199604
org.joda.time.chrono.LimitChronology#137,0.198656
org.joda.time.format.DateTimeFormatter#883,0.197911
org.joda.time.format.DateTimeFormatter#844,0.197911
org.joda.time.format.DateTimeFormatter#805,0.197911
org.joda.time.format.DateTimeFormatter#709,0.197911
org.joda.time.format.DateTimeFormatter#800,0.197604
org.joda.time.DateTimeZone#502,0.197241
org.joda.time.tz.FixedDateTimeZone#502,0.197241
org.joda.time.tz.CachedDateTimeZone#502,0.197241
org.joda.time.DateTimeZone#499,0.195806
org.joda.time.tz.FixedDateTimeZone#499,0.195806
org.joda.time.tz.CachedDateTimeZone#499,0.195806
org.joda.time.MutableDateTime#905,0.195674
org.joda.time.tz.ZoneInfoCompiler#321,0.195453
org.joda.time.MutableDateTime#857,0.194562
org.joda.time.tz.DateTimeZoneBuilder#1388,0.193986
org.joda.time.DateTimeZone#402,0.193554
org.joda.time.tz.FixedDateTimeZone#402,0.193554
org.joda.time.tz.CachedDateTimeZone#402,0.193554
org.joda.time.DateTimeZone#175,0.193554
org.joda.time.tz.FixedDateTimeZone#175,0.193554
org.joda.time.tz.CachedDateTimeZone#175,0.193554
org.joda.time.LocalDate#662,0.193285
org.joda.time.LocalDateTime#592,0.193093
org.joda.time.DateTime#592,0.193093
org.joda.time.MutableDateTime#592,0.193093
org.joda.time.format.DateTimeFormatter#794,0.192975
org.joda.time.tz.CachedDateTimeZone#67,0.191582
org.joda.time.format.DateTimeFormatter#840,0.191377
org.joda.time.chrono.ZonedChronology#470,0.190468
org.joda.time.format.DateTimeFormatter#881,0.190356
org.joda.time.format.DateTimeFormatter#842,0.190356
org.joda.time.format.DateTimeFormatter#803,0.190356
org.joda.time.format.DateTimeFormatter#707,0.190356
org.joda.time.format.DateTimeFormatter#640,0.190284
org.joda.time.format.DateTimeFormatter#623,0.190284
org.joda.time.LocalDate#909,0.190183
